RecordID,Year,Month,Region,Category,Sales_USD,Units_Sold,Discount_Pct,Returns,Net_Sales_USD
1,2023,2,North,Electronics,6125.48,190,4.9,4,5825.33
2,2023,2,South,Clothing,35451.48,329,1.7,13,34848.8
3,2021,1,East,Groceries,9216.29,169,10.1,0,8285.44
4,2023,4,West,Furniture,37220.88,409,10.9,7,33163.8
5,2022,10,Central,Sports,17518.58,495,0.1,5,17501.06
6,2023,7,North,Electronics,20311.27,129,4.3,10,19437.89
7,2021,2,South,Clothing,22096.73,233,16.9,19,18362.38
8,2022,1,East,Groceries,37837.93,324,2.5,12,36891.98
9,2021,9,West,Furniture,18193.02,371,12.4,11,15937.09
10,2023,4,Central,Sports,36705.73,73,13.2,9,31860.57
11,2021,4,North,Electronics,43991.77,244,5.6,20,41528.23
12,2022,3,South,Clothing,21658.14,157,13.4,20,18755.95
13,2021,10,East,Groceries,33574.02,323,14.6,5,28672.21
14,2022,7,West,Furniture,17147.65,377,13.8,7,14781.27
15,2023,6,Central,Sports,,447,1.1,1,42456.13
16,2022,7,North,Electronics,17048.34,158,18.3,18,13928.49
17,2023,6,South,Clothing,14568.19,305,7.9,20,13417.3
18,2022,3,East,Groceries,16919.61,176,14.9,17,14398.59
19,2022,12,West,Furniture,31306.37,348,8.0,7,28801.86
20,2021,9,Central,Sports,27208.21,436,0.9,3,26963.34
21,2021,11,North,Electronics,12199.19,398,8.4,2,11174.46
22,2022,7,South,Clothing,31814.98,289,10.6,17,28442.59
23,2021,11,East,Groceries,37432.48,399,17.7,8,30806.93
24,2023,6,West,Furniture,10019.85,272,3.2,0,9699.21
25,2023,12,Central,Sports,16852.51,306,15.2,16,14290.93
