CityID,City,Country,Continent,Survey_Date,Population,Density_per_km2,Median_Age,Urban_Growth_Rate_Pct,GDP_per_Capita_USD
1,Beijing,China,Asia,2018-11-10,22439587,17135,34.2,1.11,12587
2,Lagos,Nigeria,Africa,2022-09-01,21097245,11121,31.8,0.95,25788
3,São Paulo,Brazil,S. America,2020-04-02,9082309,19091,40.9,0.84,33849
4,Mumbai,India,Asia,2018-09-25,5219822,4707,35.2,4.29,12821
5,Cairo,Egypt,Africa,2020-09-28,21353914,14365,41.3,4.22,15182
6,Mexico City,Mexico,N. America,2020-07-22,22806289,12736,30.8,2.57,9930
7,Dhaka,Bangladesh,Asia,2019-04-03,12344269,1189,33.8,1.42,16432
8,Osaka,Japan,Asia,2018-02-23,22176301,2429,26.6,4.12,23654
9,Karachi,Pakistan,Asia,2018-09-08,10344146,22421,31.7,2.66,39423
10,Chongqing,China,Asia,2022-08-08,16870338,13838,25.8,0.89,30249
11,Istanbul,Turkey,Europe,2020-07-14,16670747,24390,23.1,3.11,44348
12,Buenos Aires,Argentina,S. America,2018-01-13,12385106,4080,27.0,1.26,31400
13,Kolkata,India,Asia,2019-07-06,10346424,15659,27.0,4.19,31041
14,Kinshasa,DR Congo,Africa,2022-02-02,22882351,18213,38.7,4.38,17491
15,Manila,Philippines,Asia,2019-07-16,17151708,7504,39.3,4.11,12789
16,Tianjin,China,Asia,2021-01-13,9898737,15409,27.7,3.29,38422
17,Guangzhou,China,Asia,2021-03-07,10955862,7633,41.4,2.82,37533
18,Rio de Janeiro,Brazil,S. America,2018-12-11,2918148,2143,33.7,2.51,36807
19,Moscow,Russia,Europe,2019-01-17,3688094,6589,23.4,0.77,17414
20,Lahore,Pakistan,Asia,2021-02-19,9261616,19470,33.9,2.98,29474
21,Shenzhen,China,Asia,2022-10-17,11615610,9044,26.1,3.36,17642
22,Bangalore,India,Asia,2020-07-05,23538183,21651,28.0,1.76,6754
23,Jakarta,Indonesia,Asia,2018-08-20,19890931,3776,23.5,1.35,19380
24,Wuhan,China,Asia,2019-06-03,9196824,12608,27.7,2.25,37600
25,Lima,Peru,S. America,2020-10-26,22943803,17832,22.2,3.77,21620
