RecordID,City,Age_0_14_Pct,Age_15_24_Pct,Age_25_54_Pct,Age_55_64_Pct,Age_65plus_Pct,Survey_Year
1,Beijing,29.0,12.8,40.5,7.6,10.1,2019
2,Lagos,26.1,13.2,33.4,7.3,20.0,2021
3,São Paulo,18.1,17.1,33.2,8.9,22.7,2019
4,Mumbai,16.4,15.4,33.3,6.0,28.9,2020
5,Cairo,24.6,14.1,38.9,9.3,13.1,2022
6,Mexico City,23.4,12.9,41.3,10.1,12.3,2020
7,Dhaka,23.2,18.7,37.0,6.9,14.2,2020
8,Osaka,15.6,14.9,41.2,11.8,16.5,2019
9,Karachi,28.5,13.7,33.0,6.6,18.2,2022
10,Chongqing,29.6,18.0,41.1,7.4,3.9,2020
11,Istanbul,29.6,18.5,40.6,6.1,5.2,2021
12,Buenos Aires,26.7,15.3,38.0,10.4,9.6,2020
13,Kolkata,19.0,18.3,31.3,11.2,20.2,2022
14,Kinshasa,18.3,18.5,35.5,7.8,19.9,2020
15,Manila,18.3,17.3,34.8,7.7,21.9,2019
16,Tianjin,29.5,14.2,37.7,8.4,10.2,2021
17,Guangzhou,29.1,12.9,41.6,7.1,9.3,2021
18,Rio de Janeiro,15.6,16.8,34.1,10.7,22.8,2022
19,Moscow,24.1,16.1,34.6,9.5,15.7,2021
20,Lahore,15.7,15.5,36.2,10.8,21.8,2020
21,Shenzhen,20.5,12.6,38.0,8.0,20.9,2021
22,Bangalore,25.0,13.0,40.8,9.0,12.2,2022
23,Jakarta,19.9,17.6,36.7,7.2,18.6,2022
24,Wuhan,25.2,19.2,37.4,7.8,10.4,2019
25,Lima,19.6,13.7,39.4,9.6,17.7,2021
