ReadingID,StationID,Date,Temperature_C,Humidity_Pct,Wind_Speed_kmh,Pressure_hPa,Precipitation_mm,Cloud_Cover_Pct,UV_Index
1,WS001,2023-01-10,12.2,86,31.1,1022,5.7,94,2
2,WS002,2023-01-15,19.4,66,24.2,1011,1.1,96,3
3,WS003,2023-01-20,19.9,58,36.7,999,0.3,31,7
4,WS004,2023-01-25,17.6,39,21.6,1002,8.6,49,7
5,WS005,2023-01-30,9.8,48,30.2,990,10.7,98,1
6,WS001,2023-02-10,23.8,58,9.6,1023,5.6,71,3
7,WS002,2023-02-15,28.9,45,21.6,1019,8.0,71,9
8,WS003,2023-02-20,6.7,86,28.3,1022,5.1,70,7
9,WS004,2023-02-25,28.2,90,21.4,1005,10.1,35,8
10,WS005,2023-02-30,12.9,60,13.8,994,8.6,30,4
11,WS001,2023-03-10,7.4,40,8.0,1004,4.6,19,3
12,WS002,2023-03-15,-2.6,82,16.2,1019,5.0,26,6
13,WS003,2023-03-20,9.4,32,38.8,1014,5.7,45,4
14,WS004,2023-03-25,22.9,83,25.1,1024,9.6,28,7
15,WS005,2023-03-30,3.1,85,22.9,1014,4.0,86,6
16,WS001,2023-04-10,21.8,89,41.5,1024,0.3,50,9
17,WS002,2023-04-15,15.9,33,5.6,1017,1.6,59,2
18,WS003,2023-04-20,-3.1,78,16.1,1019,3.9,97,6
19,WS004,2023-04-25,5.3,83,12.8,995,5.6,95,8
20,WS005,2023-04-30,-3.1,74,11.6,994,9.4,83,0
21,WS001,2023-05-10,22.9,61,10.6,991,7.5,30,2
22,WS002,2023-05-15,12.5,44,26.3,1003,5.6,32,5
23,WS003,2023-05-20,1.2,44,35.4,1000,11.6,13,9
24,WS004,2023-05-25,-4.0,69,26.8,1014,4.8,91,3
25,WS005,2023-05-30,-2.2,61,6.4,1009,10.2,76,1
26,WS001,2023-06-10,24.5,35,16.9,1017,7.9,8,8
27,WS002,2023-06-15,19.0,31,38.5,1021,1.3,46,10
28,WS003,2023-06-20,28.0,88,32.4,1017,2.1,66,10
29,WS004,2023-06-25,5.0,91,22.0,1007,3.9,31,1
30,WS005,2023-06-30,5.3,87,12.5,1019,6.8,85,6
