StationID,City,Month,Avg_Temp_C,Avg_Humidity_Pct,Avg_Precipitation_mm,Avg_Wind_Speed_kmh,Sunshine_Hours
WS001,New York,1,12.7,76,88.1,11.1,109.7
WS001,New York,4,23.4,66,42.4,18.1,203.2
WS001,New York,7,17.8,78,95.8,9.5,180.8
WS001,New York,10,16.2,60,75.2,19.0,148.7
WS002,London,1,23.2,50,43.5,14.9,114.1
WS002,London,4,20.3,68,57.9,17.0,139.6
WS002,London,7,224.0,66,48.1,15.7,122.9
WS002,London,10,10.3,57,45.2,20.6,213.1
WS003,Tokyo,1,20.9,57,37.3,16.2,181.4
WS003,Tokyo,4,27.5,78,67.7,24.7,196.6
WS003,Tokyo,7,11.8,68,34.4,8.2,154.8
WS003,Tokyo,10,11.3,48,64.3,19.9,97.7
WS004,Sydney,1,25.0,76,28.2,8.2,119.8
WS004,Sydney,4,16.0,66,34.7,8.9,211.7
WS004,Sydney,7,16.0,49,52.1,9.3,168.1
WS004,Sydney,10,6.2,54,84.9,24.1,91.9
WS005,Berlin,1,10.7,80,81.2,18.3,190.7
WS005,Berlin,4,10.2,78,50.4,23.4,121.6
WS005,Berlin,7,18.5,72,44.4,18.6,165.3
WS005,Berlin,10,22.0,58,70.0,12.5,91.4
