RecordID,BusinessUnit,Year,Quarter,Operating_Expenses_USD,R&D_Spend_USD,Marketing_Spend_USD,COGS_USD,Depreciation_USD,EBITDA_USD
1,Cloud Services,2020,Q1,4622511.0,1550999.0,761108.0,3925899.0,115089.0,1357747.0
2,Hardware,2020,Q2,6314274.0,2289619.0,291112.0,1023576.0,397704.0,4344856.0
3,Software Licensing,2020,Q3,3926852.0,2405609.0,474042.0,519239.0,376723.0,4268642.0
4,Professional Services,2020,Q4,6135295.0,2047834.0,1311365.0,3849105.0,267954.0,1995980.0
5,Consumer Products,2020,Q1,7818429.0,1256188.0,1405993.0,7022013.0,491349.0,1574625.0
6,Cloud Services,2021,Q2,4323332.0,2596836.0,675085.0,2886322.0,262839.0,4610436.0
7,Hardware,2021,Q3,4307327.0,2967559.0,1209351.0,5390143.0,118447.0,4841710.0
8,Software Licensing,2021,Q4,1961466.0,2902990.0,564793.0,1252735.0,430268.0,948703.0
9,Professional Services,2021,Q1,,242973.0,301818.0,7031997.0,486481.0,836727.0
10,Consumer Products,2021,Q2,7990033.0,942064.0,972563.0,3481125.0,86142.0,1978545.0
11,Cloud Services,2022,Q3,7004089.0,1694142.0,1435795.0,5200994.0,449347.0,2695764.0
12,Hardware,2022,Q4,5777347.0,1928886.0,428678.0,5632997.0,179321.0,1523688.0
13,Software Licensing,2022,Q1,1631490.0,2939346.0,1164518.0,5779181.0,95228.0,1248642.0
14,Professional Services,2022,Q2,3555088.0,281052.0,554125.0,920894.0,211309.0,2438091.0
15,Consumer Products,2022,Q3,3046616.0,1353745.0,1054521.0,1850427.0,128781.0,3242713.0
16,Cloud Services,2023,Q4,4319408.0,2112777.0,796734.0,4873678.0,154485.0,3370571.0
17,Hardware,2023,Q1,5028049.0,2067154.0,1358472.0,3989399.0,179434.0,2959692.0
18,Software Licensing,2023,Q2,1479529.0,2846660.0,1482712.0,2743657.0,482913.0,3606411.0
19,Professional Services,2023,Q3,5002889.0,1045941.0,1499123.0,6900016.0,97994.0,2216139.0
20,Consumer Products,2023,Q4,4102424.0,1028443.0,1078991.0,664547.0,423517.0,2281126.0
