OrderID,CustomerID,ProductID,Order_Date,Quantity,Unit_Price_USD,Total_USD,Status,Payment_Method,Shipping_Days
ORD20001,CUST5113,P017,2023-09-20,2,148.83,297.66,Shipped,Debit Card,6
ORD20002,CUST5199,P011,2023-11-20,3,92.8,278.4,Delivered,Debit Card,2
ORD20003,CUST5174,P013,2023-05-09,3,41.54,124.62,Returned,PayPal,6
ORD20004,CUST5037,P012,2023-05-21,1,126.98,126.98,Cancelled,PayPal,10
ORD20005,CUST5097,P021,2023-06-27,1,79.18,79.18,Shipped,Crypto,2
ORD20006,CUST5005,P012,2023-05-06,4,113.99,455.96,Shipped,Debit Card,13
ORD20007,CUST5036,P005,2023-02-10,4,58.6,234.4,Delivered,Crypto,13
ORD20008,CUST5135,P002,2023-11-11,5,171.15,855.75,Returned,PayPal,10
ORD20009,CUST5047,P023,2023-10-26,4,51.99,207.96,Shipped,Bank Transfer,1
ORD20010,CUST5185,P008,2023-08-20,4,88.75,355.0,Processing,Bank Transfer,4
ORD20011,CUST5121,P007,2023-06-22,5,66.85,334.25,Returned,Bank Transfer,8
ORD20012,CUST5129,P017,2023-07-06,3,161.17,483.51,Shipped,Crypto,3
ORD20013,CUST5124,P012,2023-09-04,3,34.13,102.39,Returned,Credit Card,5
ORD20014,CUST5070,P015,2023-09-05,1,158.55,158.55,Cancelled,Credit Card,4
ORD20015,CUST5007,P014,2023-01-13,4,179.81,719.24,Returned,Debit Card,4
ORD20016,CUST5096,P008,2023-01-11,4,199.04,796.16,Delivered,Debit Card,13
ORD20017,CUST5074,P016,2023-12-27,2,49.08,98.16,Shipped,Bank Transfer,8
ORD20018,CUST5021,P001,2023-05-07,5,25.92,129.6,Shipped,Crypto,12
ORD20019,CUST5029,P025,2023-05-08,5,117.36,586.8,Processing,Credit Card,1
ORD20020,CUST5160,P015,2023-02-04,2,98.47,196.94,Cancelled,Crypto,9
ORD20021,CUST5148,P008,2023-12-05,1,135.59,135.59,Processing,Bank Transfer,1
ORD20022,CUST5147,P014,2023-03-22,5,86.74,433.7,Delivered,Crypto,6
ORD20023,CUST5140,P017,2023-09-18,1,191.85,191.85,Delivered,Bank Transfer,14
ORD20024,CUST5100,P012,2023-05-24,4,32.62,130.48,Delivered,Debit Card,13
ORD20025,CUST5188,P022,2023-11-04,1,85.34,85.34,Returned,Debit Card,3
