Market,Channel,Q1_Spend_USD,Q2_Spend_USD,Q3_Spend_USD,Q4_Spend_USD,Annual_Conversions,Annual_Revenue_USD
North America,Search (SEM),28758.0,36600.0,64872.0,20799.0,3391,287509.0
North America,Social Media,17459.0,10364.0,31579.0,35194.0,2409,126674.0
North America,Display Ads,16111.0,40169.0,48989.0,45871.0,1046,69696.0
North America,Email,34774.0,16514.0,51863.0,32710.0,3355,59255.0
Europe,Search (SEM),38967.0,64542.0,60739.0,49168.0,2188,478970.0
Europe,Social Media,21871.0,36651.0,19719.0,31079.0,4239,159451.0
Europe,Display Ads,21705.0,29317.0,30983.0,64787.0,3158,238775.0
Europe,Email,27261.0,53752.0,51566.0,23688.0,1076,151617.0
Asia Pacific,Search (SEM),10474.0,37698.0,68913.0,36592.0,2899,380167.0
Asia Pacific,Social Media,40143.0,67647.0,55573.0,51608.0,2661,290499.0
Asia Pacific,Display Ads,76310.0,24060.0,31993.0,77520.0,2814,268586.0
Asia Pacific,Email,58647.0,44371.0,50312.0,26970.0,3280,260225.0
Latin America,Search (SEM),65011.0,35551.0,75245.0,23986.0,4669,184945.0
Latin America,Social Media,63733.0,11884.0,60905.0,76008.0,1917,378841.0
Latin America,Display Ads,30393.0,58498.0,67328.0,65696.0,3551,554733.0
Latin America,Email,19743.0,31198.0,27688.0,20790.0,3666,641808.0
Middle East,Search (SEM),15178.0,79349.0,43546.0,38056.0,4350,742622.0
Middle East,Social Media,70874.0,39281.0,12574.0,77790.0,4598,495365.0
Middle East,Display Ads,74008.0,17656.0,27376.0,56529.0,1562,535250.0
Middle East,Email,13101.0,78853.0,57423.0,37973.0,2916,774288.0
