PassengerID,Survived,Class,Sex,Age,Fare_USD
P001,1,1,Female,34,320.00
P002,0,3,Male,28,18.50
P003,1,2,Female,45,95.00
P004,0,3,Male,23,15.00
P005,1,1,Female,52,350.00
P006,0,3,Male,41,17.00
P007,1,1,Male,38,300.00
P008,0,2,Male,29,80.00
P009,1,2,Female,55,110.00
P010,0,3,Male,19,14.00
P011,1,1,Female,31,340.00
P012,0,3,Male,47,16.50
P013,1,2,Female,26,90.00
P014,0,3,Male,33,13.00
P015,1,1,Female,44,360.00
P016,0,3,Male,22,15.50
P017,1,2,Female,39,105.00
P018,0,3,Male,51,18.00
P019,1,1,Male,36,310.00
P020,0,2,Male,27,85.00
