Date,Temperature_F,Precipitation_in,FootTraffic,Price_USD,Sales_USD
2024-01-02,35.0,0.0,110,3.50,482.50
2024-01-03,38.0,0.2,90,3.50,391.00
2024-01-04,42.0,0.0,130,3.75,576.25
2024-01-05,40.0,0.5,80,3.50,325.50
2024-01-06,45.0,0.0,150,4.00,680.00
2024-01-08,50.0,0.0,160,4.00,720.00
2024-01-09,48.0,0.3,120,3.75,498.75
2024-01-10,52.0,0.0,170,4.00,756.00
2024-01-11,46.0,0.4,100,3.75,415.00
2024-01-12,55.0,0.0,180,4.25,842.50
2024-01-13,53.0,0.0,175,4.00,770.00
2024-01-15,58.0,0.1,160,4.00,718.00
2024-01-16,60.0,0.0,190,4.25,890.25
2024-01-17,56.0,0.0,185,4.25,872.25
2024-01-18,54.0,0.2,150,4.00,648.00
