FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,pH,Alcohol,Quality,WineType
7.4,0.70,0.00,1.9,3.51,9.4,5,red
7.8,0.88,0.00,2.6,3.20,9.8,5,red
7.8,0.76,0.04,2.3,3.26,9.8,5,red
11.2,0.28,0.56,1.9,3.16,9.8,6,red
7.4,0.70,0.00,1.9,3.51,9.4,5,red
7.4,0.66,0.00,1.8,3.54,9.4,5,red
7.9,0.60,0.06,1.6,3.30,9.8,5,red
7.3,0.65,0.00,1.2,3.39,9.4,7,red
7.8,0.58,0.02,2.0,3.36,9.8,6,red
7.5,0.50,0.36,6.1,3.18,9.5,5,red
6.7,0.58,0.08,1.8,3.46,9.4,6,white
8.1,0.28,0.40,6.9,3.33,9.7,6,white
7.2,0.34,0.04,4.6,3.40,9.2,6,white
7.2,0.23,0.32,8.5,3.37,9.6,5,white
8.1,0.28,0.40,6.9,3.33,9.7,6,white
6.9,0.40,0.14,2.4,3.45,9.2,6,white
6.7,0.24,0.31,2.5,3.52,9.5,6,white
6.3,0.28,0.47,11.2,3.20,9.0,6,white
6.8,0.24,0.42,3.2,3.43,9.2,6,white
7.2,0.34,0.04,4.6,3.40,9.2,6,white
