EmployeeID,Name,Department,HoursPerWeek,TasksPerMonth,PerformanceRating,MonthlySalary_USD
E001,Employee_01,Engineering,50,22,2,7813
E002,Employee_02,Marketing,43,17,2,6986
E003,Employee_03,Operations,40,18,4,8443
E004,Employee_04,Engineering,55,12,5,9751
E005,Employee_05,Marketing,44,23,5,9302
E006,Employee_06,Operations,44,21,4,8982
E007,Employee_07,Engineering,44,14,4,8776
E008,Employee_08,Marketing,43,28,3,7534
E009,Employee_09,Operations,54,12,4,8923
E010,Employee_10,Engineering,50,11,3,8371
E011,Employee_11,Marketing,38,23,2,6971
E012,Employee_12,Operations,55,12,4,9181
E013,Employee_13,Engineering,44,29,4,9100
E014,Employee_14,Marketing,39,21,2,6871
E015,Employee_15,Operations,43,24,5,9597
E016,Employee_16,Engineering,43,26,2,6887
E017,Employee_17,Marketing,41,10,2,7235
E018,Employee_18,Operations,51,12,4,9097
E019,Employee_19,Engineering,40,14,3,7932
E020,Employee_20,Marketing,38,22,3,7339
E021,Employee_21,Operations,54,22,2,8321
E022,Employee_22,Engineering,39,30,2,7103
E023,Employee_23,Marketing,46,27,4,9044
E024,Employee_24,Operations,42,21,4,8944
E025,Employee_25,Engineering,39,14,5,9247
