StaffID,Name,Department,ContractHours_per_week
S001,Staff_01,Sciences,35
S002,Staff_02,Arts,35
S003,Staff_03,Mathematics,35
S004,Staff_04,Languages,35
S005,Staff_05,Sports,35
S006,Staff_06,Sciences,35
S007,Staff_07,Arts,35
S008,Staff_08,Mathematics,35
S009,Staff_09,Languages,35
S010,Staff_10,Sports,35
S011,Staff_11,Sciences,35
S012,Staff_12,Arts,35
S013,Staff_13,Mathematics,35
S014,Staff_14,Languages,35
S015,Staff_15,Sports,35
S016,Staff_16,Sciences,35
S017,Staff_17,Arts,35
S018,Staff_18,Mathematics,35
S019,Staff_19,Languages,35
S020,Staff_20,Sports,35
S021,Staff_21,Sciences,35
S022,Staff_22,Arts,35
S023,Staff_23,Mathematics,35
S024,Staff_24,Languages,35
S025,Staff_25,Sports,35
