StaffID,Week,ActualHours
S001,1,30
S001,2,33
S001,3,35
S001,4,32
S001,5,30
S001,6,34
S001,7,31
S001,8,34
S002,1,35
S002,2,32
S002,3,35
S002,4,33
S002,5,35
S002,6,33
S002,7,33
S002,8,33
S003,1,36
S003,2,33
S003,3,33
S003,4,37
S003,5,35
S003,6,30
S003,7,30
S003,8,34
S004,1,37
S004,2,34
S004,3,33
S004,4,35
S004,5,37
S004,6,35
S004,7,35
S004,8,31
S005,1,33
S005,2,31
S005,3,33
S005,4,37
S005,5,33
S005,6,35
S005,7,33
S005,8,37
S006,1,30
S006,2,37
S006,3,35
S006,4,31
S006,5,31
S006,6,36
S006,7,33
S006,8,37
S007,1,32
S007,2,36
S007,3,35
S007,4,31
S007,5,36
S007,6,37
S007,7,36
S007,8,31
S008,1,32
S008,2,32
S008,3,32
S008,4,30
S008,5,32
S008,6,37
S008,7,32
S008,8,37
S009,1,35
S009,2,32
S009,3,32
S009,4,30
S009,5,30
S009,6,31
S009,7,32
S009,8,36
S010,1,33
S010,2,33
S010,3,30
S010,4,34
S010,5,33
S010,6,34
S010,7,33
S010,8,35
S011,1,34
S011,2,36
S011,3,32
S011,4,30
S011,5,35
S011,6,37
S011,7,36
S011,8,32
S012,1,32
S012,2,30
S012,3,37
S012,4,32
S012,5,30
S012,6,32
S012,7,32
S012,8,32
S013,1,37
S013,2,31
S013,3,30
S013,4,35
S013,5,37
S013,6,31
S013,7,30
S013,8,33
S014,1,33
S014,2,34
S014,3,30
S014,4,31
S014,5,37
S014,6,30
S014,7,31
S014,8,37
S015,1,35
S015,2,33
S015,3,34
S015,4,37
S015,5,37
S015,6,33
S015,7,34
S015,8,33
S016,1,37
S016,2,32
S016,3,36
S016,4,31
S016,5,36
S016,6,37
S016,7,35
S016,8,31
S017,1,33
S017,2,36
S017,3,31
S017,4,33
S017,5,34
S017,6,31
S017,7,32
S017,8,35
S018,1,32
S018,2,34
S018,3,32
S018,4,37
S018,5,33
S018,6,31
S018,7,36
S018,8,37
S019,1,32
S019,2,33
S019,3,32
S019,4,36
S019,5,36
S019,6,35
S019,7,36
S019,8,33
S020,1,35
S020,2,35
S020,3,31
S020,4,35
S020,5,30
S020,6,35
S020,7,37
S020,8,37
S021,1,30
S021,2,36
S021,3,35
S021,4,34
S021,5,31
S021,6,31
S021,7,33
S021,8,31
S022,1,31
S022,2,34
S022,3,34
S022,4,30
S022,5,32
S022,6,34
S022,7,32
S022,8,36
S023,1,34
S023,2,36
S023,3,32
S023,4,37
S023,5,35
S023,6,31
S023,7,34
S023,8,30
S024,1,32
S024,2,36
S024,3,31
S024,4,34
S024,5,30
S024,6,31
S024,7,34
S024,8,31
S025,1,33
S025,2,31
S025,3,34
S025,4,31
S025,5,37
S025,6,30
S025,7,35
S025,8,36
