ProductID,ProductName,Category,UnitPrice,UnitCost,LaunchQuarter
P001,Electronics_Item_001,Electronics,18,8,2023Q1
P002,Home_Item_002,Home,24,13,2023Q2
P003,Sports_Item_003,Sports,30,18,2023Q3
P004,Beauty_Item_004,Beauty,36,23,2023Q4
P005,Office_Item_005,Office,42,28,2024Q1
P006,Electronics_Item_006,Electronics,48,33,2023Q1
P007,Home_Item_007,Home,26,10,2023Q2
P008,Sports_Item_008,Sports,32,15,2023Q3
P009,Beauty_Item_009,Beauty,30,20,2023Q4
P010,Office_Item_010,Office,36,25,2024Q1
P011,Electronics_Item_011,Electronics,42,30,2023Q1
P012,Home_Item_012,Home,48,35,2023Q2
P013,Sports_Item_013,Sports,26,12,2023Q3
P014,Beauty_Item_014,Beauty,32,17,2023Q4
P015,Office_Item_015,Office,38,22,2024Q1
P016,Electronics_Item_016,Electronics,44,27,2023Q1
P017,Home_Item_017,Home,42,32,2023Q2
P018,Sports_Item_018,Sports,20,9,2023Q3
P019,Beauty_Item_019,Beauty,26,14,2023Q4
P020,Office_Item_020,Office,32,19,2024Q1
P021,Electronics_Item_021,Electronics,38,24,2023Q1
P022,Home_Item_022,Home,44,29,2023Q2
P023,Sports_Item_023,Sports,50,34,2023Q3
P024,Beauty_Item_024,Beauty,28,11,2023Q4
P025,Office_Item_025,Office,26,16,2024Q1
P026,Electronics_Item_026,Electronics,32,21,2023Q1
P027,Home_Item_027,Home,38,26,2023Q2
P028,Sports_Item_028,Sports,44,31,2023Q3
P029,Beauty_Item_029,Beauty,22,8,2023Q4
P030,Office_Item_030,Office,28,13,2024Q1
P031,Electronics_Item_031,Electronics,34,18,2023Q1
P032,Home_Item_032,Home,40,23,2023Q2
P033,Sports_Item_033,Sports,38,28,2023Q3
P034,Beauty_Item_034,Beauty,44,33,2023Q4
P035,Office_Item_035,Office,22,10,2024Q1
P036,Electronics_Item_036,Electronics,28,15,2023Q1
P037,Home_Item_037,Home,34,20,2023Q2
P038,Sports_Item_038,Sports,40,25,2023Q3
P039,Beauty_Item_039,Beauty,46,30,2023Q4
P040,Office_Item_040,Office,52,35,2024Q1
P041,Electronics_Item_041,Electronics,22,12,2023Q1
P042,Home_Item_042,Home,28,17,2023Q2
P043,Sports_Item_043,Sports,34,22,2023Q3
P044,Beauty_Item_044,Beauty,40,27,2023Q4
P045,Office_Item_045,Office,46,32,2024Q1
P046,Electronics_Item_046,Electronics,24,9,2023Q1
P047,Home_Item_047,Home,30,14,2023Q2
P048,Sports_Item_048,Sports,36,19,2023Q3
P049,Beauty_Item_049,Beauty,34,24,2023Q4
P050,Office_Item_050,Office,40,29,2024Q1
P051,Electronics_Item_051,Electronics,46,34,2023Q1
P052,Home_Item_052,Home,24,11,2023Q2
P053,Sports_Item_053,Sports,30,16,2023Q3
P054,Beauty_Item_054,Beauty,36,21,2023Q4
P055,Office_Item_055,Office,42,26,2024Q1
P056,Electronics_Item_056,Electronics,48,31,2023Q1
P057,Home_Item_057,Home,18,8,2023Q2
P058,Sports_Item_058,Sports,24,13,2023Q3
P059,Beauty_Item_059,Beauty,30,18,2023Q4
P060,Office_Item_060,Office,36,23,2024Q1
P061,Electronics_Item_061,Electronics,42,28,2023Q1
P062,Home_Item_062,Home,48,33,2023Q2
P063,Sports_Item_063,Sports,26,10,2023Q3
P064,Beauty_Item_064,Beauty,32,15,2023Q4
P065,Office_Item_065,Office,30,20,2024Q1
P066,Electronics_Item_066,Electronics,36,25,2023Q1
P067,Home_Item_067,Home,42,30,2023Q2
P068,Sports_Item_068,Sports,48,35,2023Q3
P069,Beauty_Item_069,Beauty,26,12,2023Q4
P070,Office_Item_070,Office,32,17,2024Q1
P071,Electronics_Item_071,Electronics,38,22,2023Q1
P072,Home_Item_072,Home,44,27,2023Q2
P073,Sports_Item_073,Sports,42,32,2023Q3
P074,Beauty_Item_074,Beauty,20,9,2023Q4
P075,Office_Item_075,Office,26,14,2024Q1
P076,Electronics_Item_076,Electronics,32,19,2023Q1
P077,Home_Item_077,Home,38,24,2023Q2
P078,Sports_Item_078,Sports,44,29,2023Q3
P079,Beauty_Item_079,Beauty,50,34,2023Q4
P080,Office_Item_080,Office,28,11,2024Q1
P081,Electronics_Item_081,Electronics,26,16,2023Q1
P082,Home_Item_082,Home,32,21,2023Q2
P083,Sports_Item_083,Sports,38,26,2023Q3
P084,Beauty_Item_084,Beauty,44,31,2023Q4
P085,Office_Item_085,Office,22,8,2024Q1
P086,Electronics_Item_086,Electronics,28,13,2023Q1
P087,Home_Item_087,Home,34,18,2023Q2
P088,Sports_Item_088,Sports,40,23,2023Q3
P089,Beauty_Item_089,Beauty,38,28,2023Q4
P090,Office_Item_090,Office,44,33,2024Q1
