SaleID,StoreID,ProductID,Month,UnitsSold,DiscountPct,Channel
SL001,S001,P001,2024-01,28,0,Online
SL002,S004,P008,2024-02,37,5,InStore
SL003,S007,P015,2024-03,46,10,Marketplace
SL004,S010,P022,2024-04,55,15,Online
SL005,S013,P029,2024-05,64,0,InStore
SL006,S016,P036,2024-06,73,5,Marketplace
SL007,S019,P043,2024-07,82,10,Online
SL008,S022,P050,2024-08,91,15,InStore
SL009,S025,P057,2024-09,36,0,Marketplace
SL010,S028,P064,2024-10,45,5,Online
SL011,S031,P071,2024-11,54,10,InStore
SL012,S034,P078,2024-12,63,15,Marketplace
SL013,S037,P085,2024-01,72,0,Online
SL014,S040,P002,2024-02,81,5,InStore
SL015,S043,P009,2024-03,90,10,Marketplace
SL016,S046,P016,2024-04,35,15,Online
SL017,S049,P023,2024-05,44,0,InStore
SL018,S052,P030,2024-06,53,5,Marketplace
SL019,S055,P037,2024-07,62,10,Online
SL020,S058,P044,2024-08,71,15,InStore
SL021,S061,P051,2024-09,80,0,Marketplace
SL022,S064,P058,2024-10,89,5,Online
SL023,S067,P065,2024-11,34,10,InStore
SL024,S070,P072,2024-12,43,15,Marketplace
SL025,S073,P079,2024-01,52,0,Online
SL026,S076,P086,2024-02,61,5,InStore
SL027,S079,P003,2024-03,70,10,Marketplace
SL028,S082,P010,2024-04,79,15,Online
SL029,S001,P017,2024-05,88,0,InStore
SL030,S004,P024,2024-06,33,5,Marketplace
SL031,S007,P031,2024-07,42,10,Online
SL032,S010,P038,2024-08,51,15,InStore
SL033,S013,P045,2024-09,60,0,Marketplace
SL034,S016,P052,2024-10,69,5,Online
SL035,S019,P059,2024-11,78,10,InStore
SL036,S022,P066,2024-12,87,15,Marketplace
SL037,S025,P073,2024-01,32,0,Online
SL038,S028,P080,2024-02,41,5,InStore
SL039,S031,P087,2024-03,50,10,Marketplace
SL040,S034,P004,2024-04,59,15,Online
SL041,S037,P011,2024-05,68,0,InStore
SL042,S040,P018,2024-06,77,5,Marketplace
SL043,S043,P025,2024-07,86,10,Online
SL044,S046,P032,2024-08,31,15,InStore
SL045,S049,P039,2024-09,40,0,Marketplace
SL046,S052,P046,2024-10,49,5,Online
SL047,S055,P053,2024-11,58,10,InStore
SL048,S058,P060,2024-12,67,15,Marketplace
SL049,S061,P067,2024-01,76,0,Online
SL050,S064,P074,2024-02,85,5,InStore
SL051,S067,P081,2024-03,30,10,Marketplace
SL052,S070,P088,2024-04,39,15,Online
SL053,S073,P005,2024-05,48,0,InStore
SL054,S076,P012,2024-06,57,5,Marketplace
SL055,S079,P019,2024-07,66,10,Online
SL056,S082,P026,2024-08,75,15,InStore
SL057,S001,P033,2024-09,84,0,Marketplace
SL058,S004,P040,2024-10,29,5,Online
SL059,S007,P047,2024-11,38,10,InStore
SL060,S010,P054,2024-12,47,15,Marketplace
SL061,S013,P061,2024-01,56,0,Online
SL062,S016,P068,2024-02,65,5,InStore
SL063,S019,P075,2024-03,74,10,Marketplace
SL064,S022,P082,2024-04,83,15,Online
SL065,S025,P089,2024-05,28,0,InStore
SL066,S028,P006,2024-06,37,5,Marketplace
SL067,S031,P013,2024-07,46,10,Online
SL068,S034,P020,2024-08,55,15,InStore
SL069,S037,P027,2024-09,64,0,Marketplace
SL070,S040,P034,2024-10,73,5,Online
SL071,S043,P041,2024-11,82,10,InStore
SL072,S046,P048,2024-12,91,15,Marketplace
SL073,S049,P055,2024-01,36,0,Online
SL074,S052,P062,2024-02,45,5,InStore
SL075,S055,P069,2024-03,54,10,Marketplace
SL076,S058,P076,2024-04,63,15,Online
SL077,S061,P083,2024-05,72,0,InStore
SL078,S064,P090,2024-06,81,5,Marketplace
SL079,S067,P007,2024-07,90,10,Online
SL080,S070,P014,2024-08,35,15,InStore
SL081,S073,P021,2024-09,44,0,Marketplace
SL082,S076,P028,2024-10,53,5,Online
SL083,S079,P035,2024-11,62,10,InStore
SL084,S082,P042,2024-12,71,15,Marketplace
SL085,S001,P049,2024-01,80,0,Online
SL086,S004,P056,2024-02,89,5,InStore
SL087,S007,P063,2024-03,34,10,Marketplace
SL088,S010,P070,2024-04,43,15,Online
SL089,S013,P077,2024-05,52,0,InStore
SL090,S016,P084,2024-06,61,5,Marketplace
SL091,S019,P001,2024-07,70,10,Online
SL092,S022,P008,2024-08,79,15,InStore
SL093,S025,P015,2024-09,88,0,Marketplace
SL094,S028,P022,2024-10,33,5,Online
SL095,S031,P029,2024-11,42,10,InStore
SL096,S034,P036,2024-12,51,15,Marketplace
SL097,S037,P043,2024-01,60,0,Online
SL098,S040,P050,2024-02,69,5,InStore
SL099,S043,P057,2024-03,78,10,Marketplace
SL100,S046,P064,2024-04,87,15,Online
SL101,S049,P071,2024-05,32,0,InStore
SL102,S052,P078,2024-06,41,5,Marketplace
SL103,S055,P085,2024-07,50,10,Online
SL104,S058,P002,2024-08,59,15,InStore
SL105,S061,P009,2024-09,68,0,Marketplace
SL106,S064,P016,2024-10,77,5,Online
SL107,S067,P023,2024-11,86,10,InStore
SL108,S070,P030,2024-12,31,15,Marketplace
SL109,S073,P037,2024-01,40,0,Online
SL110,S076,P044,2024-02,49,5,InStore
SL111,S079,P051,2024-03,58,10,Marketplace
SL112,S082,P058,2024-04,67,15,Online
SL113,S001,P065,2024-05,76,0,InStore
SL114,S004,P072,2024-06,85,5,Marketplace
SL115,S007,P079,2024-07,30,10,Online
SL116,S010,P086,2024-08,39,15,InStore
SL117,S013,P003,2024-09,48,0,Marketplace
SL118,S016,P010,2024-10,57,5,Online
SL119,S019,P017,2024-11,66,10,InStore
SL120,S022,P024,2024-12,75,15,Marketplace
