SupplierID,SupplierName,Category,Country,Region,PreferredFlag,ContractTier
SUP001,Supplier_001,Raw_Materials,UK,UK,Yes,Gold
SUP002,Supplier_002,Packaging,Germany,EU,No,Silver
SUP003,Supplier_003,Components,France,NA,No,Bronze
SUP004,Supplier_004,Services,Poland,APAC,Yes,Gold
SUP005,Supplier_005,Tools,India,UK,No,Silver
SUP006,Supplier_006,Raw_Materials,Japan,EU,No,Bronze
SUP007,Supplier_007,Packaging,Canada,NA,Yes,Gold
SUP008,Supplier_008,Components,Spain,APAC,No,Silver
SUP009,Supplier_009,Services,UK,UK,No,Bronze
SUP010,Supplier_010,Tools,Germany,EU,Yes,Gold
SUP011,Supplier_011,Raw_Materials,France,NA,No,Silver
SUP012,Supplier_012,Packaging,Poland,APAC,No,Bronze
SUP013,Supplier_013,Components,India,UK,Yes,Gold
SUP014,Supplier_014,Services,Japan,EU,No,Silver
SUP015,Supplier_015,Tools,Canada,NA,No,Bronze
SUP016,Supplier_016,Raw_Materials,Spain,APAC,Yes,Gold
SUP017,Supplier_017,Packaging,UK,UK,No,Silver
SUP018,Supplier_018,Components,Germany,EU,No,Bronze
SUP019,Supplier_019,Services,France,NA,Yes,Gold
SUP020,Supplier_020,Tools,Poland,APAC,No,Silver
SUP021,Supplier_021,Raw_Materials,India,UK,No,Bronze
SUP022,Supplier_022,Packaging,Japan,EU,Yes,Gold
SUP023,Supplier_023,Components,Canada,NA,No,Silver
SUP024,Supplier_024,Services,Spain,APAC,No,Bronze
SUP025,Supplier_025,Tools,UK,UK,Yes,Gold
SUP026,Supplier_026,Raw_Materials,Germany,EU,No,Silver
SUP027,Supplier_027,Packaging,France,NA,No,Bronze
SUP028,Supplier_028,Components,Poland,APAC,Yes,Gold
SUP029,Supplier_029,Services,India,UK,No,Silver
SUP030,Supplier_030,Tools,Japan,EU,No,Bronze
SUP031,Supplier_031,Raw_Materials,Canada,NA,Yes,Gold
SUP032,Supplier_032,Packaging,Spain,APAC,No,Silver
SUP033,Supplier_033,Components,UK,UK,No,Bronze
SUP034,Supplier_034,Services,Germany,EU,Yes,Gold
SUP035,Supplier_035,Tools,France,NA,No,Silver
SUP036,Supplier_036,Raw_Materials,Poland,APAC,No,Bronze
SUP037,Supplier_037,Packaging,India,UK,Yes,Gold
SUP038,Supplier_038,Components,Japan,EU,No,Silver
SUP039,Supplier_039,Services,Canada,NA,No,Bronze
SUP040,Supplier_040,Tools,Spain,APAC,Yes,Gold
SUP041,Supplier_041,Raw_Materials,UK,UK,No,Silver
SUP042,Supplier_042,Packaging,Germany,EU,No,Bronze
SUP043,Supplier_043,Components,France,NA,Yes,Gold
SUP044,Supplier_044,Services,Poland,APAC,No,Silver
SUP045,Supplier_045,Tools,India,UK,No,Bronze
SUP046,Supplier_046,Raw_Materials,Japan,EU,Yes,Gold
SUP047,Supplier_047,Packaging,Canada,NA,No,Silver
SUP048,Supplier_048,Components,Spain,APAC,No,Bronze
SUP049,Supplier_049,Services,UK,UK,Yes,Gold
SUP050,Supplier_050,Tools,Germany,EU,No,Silver
SUP051,Supplier_051,Raw_Materials,France,NA,No,Bronze
SUP052,Supplier_052,Packaging,Poland,APAC,Yes,Gold
SUP053,Supplier_053,Components,India,UK,No,Silver
SUP054,Supplier_054,Services,Japan,EU,No,Bronze
SUP055,Supplier_055,Tools,Canada,NA,Yes,Gold
SUP056,Supplier_056,Raw_Materials,Spain,APAC,No,Silver
SUP057,Supplier_057,Packaging,UK,UK,No,Bronze
SUP058,Supplier_058,Components,Germany,EU,Yes,Gold
SUP059,Supplier_059,Services,France,NA,No,Silver
SUP060,Supplier_060,Tools,Poland,APAC,No,Bronze
SUP061,Supplier_061,Raw_Materials,India,UK,Yes,Gold
SUP062,Supplier_062,Packaging,Japan,EU,No,Silver
SUP063,Supplier_063,Components,Canada,NA,No,Bronze
SUP064,Supplier_064,Services,Spain,APAC,Yes,Gold
SUP065,Supplier_065,Tools,UK,UK,No,Silver
SUP066,Supplier_066,Raw_Materials,Germany,EU,No,Bronze
SUP067,Supplier_067,Packaging,France,NA,Yes,Gold
SUP068,Supplier_068,Components,Poland,APAC,No,Silver
SUP069,Supplier_069,Services,India,UK,No,Bronze
SUP070,Supplier_070,Tools,Japan,EU,Yes,Gold
SUP071,Supplier_071,Raw_Materials,Canada,NA,No,Silver
SUP072,Supplier_072,Packaging,Spain,APAC,No,Bronze
SUP073,Supplier_073,Components,UK,UK,Yes,Gold
SUP074,Supplier_074,Services,Germany,EU,No,Silver
SUP075,Supplier_075,Tools,France,NA,No,Bronze
SUP076,Supplier_076,Raw_Materials,Poland,APAC,Yes,Gold
SUP077,Supplier_077,Packaging,India,UK,No,Silver
SUP078,Supplier_078,Components,Japan,EU,No,Bronze
SUP079,Supplier_079,Services,Canada,NA,Yes,Gold
SUP080,Supplier_080,Tools,Spain,APAC,No,Silver
SUP081,Supplier_081,Raw_Materials,UK,UK,No,Bronze
SUP082,Supplier_082,Packaging,Germany,EU,Yes,Gold
SUP083,Supplier_083,Components,France,NA,No,Silver
SUP084,Supplier_084,Services,Poland,APAC,No,Bronze
