BuyerID,BuyerName,Team,Region,ExperienceYears,Manager,ActiveFlag
B001,Buyer_001,Strategic,UK,2,Lead_01,Yes
B002,Buyer_002,Direct,EU,3,Lead_02,Yes
B003,Buyer_003,Indirect,NA,4,Lead_03,Yes
B004,Buyer_004,Capex,APAC,5,Lead_04,Yes
B005,Buyer_005,Strategic,UK,6,Lead_05,Yes
B006,Buyer_006,Direct,EU,7,Lead_06,Yes
B007,Buyer_007,Indirect,NA,8,Lead_07,Yes
B008,Buyer_008,Capex,APAC,9,Lead_08,Yes
B009,Buyer_009,Strategic,UK,10,Lead_09,Yes
B010,Buyer_010,Direct,EU,11,Lead_10,Yes
B011,Buyer_011,Indirect,NA,12,Lead_01,Yes
B012,Buyer_012,Capex,APAC,2,Lead_02,Yes
B013,Buyer_013,Strategic,UK,3,Lead_03,Yes
B014,Buyer_014,Direct,EU,4,Lead_04,Yes
B015,Buyer_015,Indirect,NA,5,Lead_05,Yes
B016,Buyer_016,Capex,APAC,6,Lead_06,Yes
B017,Buyer_017,Strategic,UK,7,Lead_07,Yes
B018,Buyer_018,Direct,EU,8,Lead_08,Yes
B019,Buyer_019,Indirect,NA,9,Lead_09,Yes
B020,Buyer_020,Capex,APAC,10,Lead_10,Yes
B021,Buyer_021,Strategic,UK,11,Lead_01,Yes
B022,Buyer_022,Direct,EU,12,Lead_02,Yes
B023,Buyer_023,Indirect,NA,2,Lead_03,Yes
B024,Buyer_024,Capex,APAC,3,Lead_04,Yes
B025,Buyer_025,Strategic,UK,4,Lead_05,Yes
B026,Buyer_026,Direct,EU,5,Lead_06,Yes
B027,Buyer_027,Indirect,NA,6,Lead_07,Yes
B028,Buyer_028,Capex,APAC,7,Lead_08,Yes
B029,Buyer_029,Strategic,UK,8,Lead_09,Yes
B030,Buyer_030,Direct,EU,9,Lead_10,Yes
B031,Buyer_031,Indirect,NA,10,Lead_01,Yes
B032,Buyer_032,Capex,APAC,11,Lead_02,Yes
B033,Buyer_033,Strategic,UK,12,Lead_03,Yes
B034,Buyer_034,Direct,EU,2,Lead_04,Yes
B035,Buyer_035,Indirect,NA,3,Lead_05,Yes
B036,Buyer_036,Capex,APAC,4,Lead_06,Yes
B037,Buyer_037,Strategic,UK,5,Lead_07,Yes
B038,Buyer_038,Direct,EU,6,Lead_08,Yes
B039,Buyer_039,Indirect,NA,7,Lead_09,Yes
B040,Buyer_040,Capex,APAC,8,Lead_10,Yes
B041,Buyer_041,Strategic,UK,9,Lead_01,Yes
B042,Buyer_042,Direct,EU,10,Lead_02,Yes
B043,Buyer_043,Indirect,NA,11,Lead_03,Yes
B044,Buyer_044,Capex,APAC,12,Lead_04,Yes
B045,Buyer_045,Strategic,UK,2,Lead_05,Yes
B046,Buyer_046,Direct,EU,3,Lead_06,Yes
B047,Buyer_047,Indirect,NA,4,Lead_07,Yes
B048,Buyer_048,Capex,APAC,5,Lead_08,Yes
B049,Buyer_049,Strategic,UK,6,Lead_09,Yes
B050,Buyer_050,Direct,EU,7,Lead_10,Yes
B051,Buyer_051,Indirect,NA,8,Lead_01,Yes
B052,Buyer_052,Capex,APAC,9,Lead_02,Yes
B053,Buyer_053,Strategic,UK,10,Lead_03,Yes
B054,Buyer_054,Direct,EU,11,Lead_04,Yes
B055,Buyer_055,Indirect,NA,12,Lead_05,Yes
B056,Buyer_056,Capex,APAC,2,Lead_06,Yes
B057,Buyer_057,Strategic,UK,3,Lead_07,Yes
B058,Buyer_058,Direct,EU,4,Lead_08,Yes
B059,Buyer_059,Indirect,NA,5,Lead_09,Yes
B060,Buyer_060,Capex,APAC,6,Lead_10,Yes
B061,Buyer_061,Strategic,UK,7,Lead_01,Yes
B062,Buyer_062,Direct,EU,8,Lead_02,Yes
B063,Buyer_063,Indirect,NA,9,Lead_03,Yes
B064,Buyer_064,Capex,APAC,10,Lead_04,Yes
B065,Buyer_065,Strategic,UK,11,Lead_05,Yes
B066,Buyer_066,Direct,EU,12,Lead_06,Yes
B067,Buyer_067,Indirect,NA,2,Lead_07,Yes
B068,Buyer_068,Capex,APAC,3,Lead_08,Yes
B069,Buyer_069,Strategic,UK,4,Lead_09,Yes
B070,Buyer_070,Direct,EU,5,Lead_10,Yes
B071,Buyer_071,Indirect,NA,6,Lead_01,Yes
B072,Buyer_072,Capex,APAC,7,Lead_02,Yes
B073,Buyer_073,Strategic,UK,8,Lead_03,Yes
B074,Buyer_074,Direct,EU,9,Lead_04,Yes
B075,Buyer_075,Indirect,NA,10,Lead_05,Yes
B076,Buyer_076,Capex,APAC,11,Lead_06,Yes
B077,Buyer_077,Strategic,UK,12,Lead_07,Yes
B078,Buyer_078,Direct,EU,2,Lead_08,Yes
B079,Buyer_079,Indirect,NA,3,Lead_09,Yes
B080,Buyer_080,Capex,APAC,4,Lead_10,Yes
