POID,SupplierID,BuyerID,OrderMonth,Category,OrderValue,PromisedDays
PO001,SUP001,B001,2024-01,Raw_Materials,9000,4
PO002,SUP006,B008,2024-02,Raw_Materials,9421,5
PO003,SUP011,B015,2024-03,Raw_Materials,9842,6
PO004,SUP016,B022,2024-04,Raw_Materials,10263,7
PO005,SUP021,B029,2024-05,Raw_Materials,10684,8
PO006,SUP026,B036,2024-06,Raw_Materials,11105,9
PO007,SUP031,B043,2024-07,Raw_Materials,11526,10
PO008,SUP036,B050,2024-08,Raw_Materials,11947,11
PO009,SUP041,B057,2024-09,Raw_Materials,12368,12
PO010,SUP046,B064,2024-10,Raw_Materials,12789,13
PO011,SUP051,B071,2024-11,Raw_Materials,13210,4
PO012,SUP056,B078,2024-12,Raw_Materials,13631,5
PO013,SUP061,B005,2024-01,Raw_Materials,14052,6
PO014,SUP066,B012,2024-02,Raw_Materials,14473,7
PO015,SUP071,B019,2024-03,Raw_Materials,14894,8
PO016,SUP076,B026,2024-04,Raw_Materials,15315,9
PO017,SUP081,B033,2024-05,Raw_Materials,15736,10
PO018,SUP002,B040,2024-06,Packaging,16157,11
PO019,SUP007,B047,2024-07,Packaging,16578,12
PO020,SUP012,B054,2024-08,Packaging,16999,13
PO021,SUP017,B061,2024-09,Packaging,17420,4
PO022,SUP022,B068,2024-10,Packaging,17841,5
PO023,SUP027,B075,2024-11,Packaging,18262,6
PO024,SUP032,B002,2024-12,Packaging,18683,7
PO025,SUP037,B009,2024-01,Packaging,19104,8
PO026,SUP042,B016,2024-02,Packaging,19525,9
PO027,SUP047,B023,2024-03,Packaging,19946,10
PO028,SUP052,B030,2024-04,Packaging,20367,11
PO029,SUP057,B037,2024-05,Packaging,20788,12
PO030,SUP062,B044,2024-06,Packaging,21209,13
PO031,SUP067,B051,2024-07,Packaging,21630,4
PO032,SUP072,B058,2024-08,Packaging,22051,5
PO033,SUP077,B065,2024-09,Packaging,22472,6
PO034,SUP082,B072,2024-10,Packaging,22893,7
PO035,SUP003,B079,2024-11,Components,23314,8
PO036,SUP008,B006,2024-12,Components,23735,9
PO037,SUP013,B013,2024-01,Components,24156,10
PO038,SUP018,B020,2024-02,Components,24577,11
PO039,SUP023,B027,2024-03,Components,24998,12
PO040,SUP028,B034,2024-04,Components,25419,13
PO041,SUP033,B041,2024-05,Components,25840,4
PO042,SUP038,B048,2024-06,Components,26261,5
PO043,SUP043,B055,2024-07,Components,26682,6
PO044,SUP048,B062,2024-08,Components,27103,7
PO045,SUP053,B069,2024-09,Components,27524,8
PO046,SUP058,B076,2024-10,Components,27945,9
PO047,SUP063,B003,2024-11,Components,28366,10
PO048,SUP068,B010,2024-12,Components,28787,11
PO049,SUP073,B017,2024-01,Components,29208,12
PO050,SUP078,B024,2024-02,Components,29629,13
PO051,SUP083,B031,2024-03,Components,30050,4
PO052,SUP004,B038,2024-04,Services,30471,5
PO053,SUP009,B045,2024-05,Services,30892,6
PO054,SUP014,B052,2024-06,Services,31313,7
PO055,SUP019,B059,2024-07,Services,31734,8
PO056,SUP024,B066,2024-08,Services,32155,9
PO057,SUP029,B073,2024-09,Services,32576,10
PO058,SUP034,B080,2024-10,Services,32997,11
PO059,SUP039,B007,2024-11,Services,33418,12
PO060,SUP044,B014,2024-12,Services,33839,13
PO061,SUP049,B021,2024-01,Services,34260,4
PO062,SUP054,B028,2024-02,Services,34681,5
PO063,SUP059,B035,2024-03,Services,9102,6
PO064,SUP064,B042,2024-04,Services,9523,7
PO065,SUP069,B049,2024-05,Services,9944,8
PO066,SUP074,B056,2024-06,Services,10365,9
PO067,SUP079,B063,2024-07,Services,10786,10
PO068,SUP084,B070,2024-08,Services,11207,11
PO069,SUP005,B077,2024-09,Tools,11628,12
PO070,SUP010,B004,2024-10,Tools,12049,13
PO071,SUP015,B011,2024-11,Tools,12470,4
PO072,SUP020,B018,2024-12,Tools,12891,5
PO073,SUP025,B025,2024-01,Tools,13312,6
PO074,SUP030,B032,2024-02,Tools,13733,7
PO075,SUP035,B039,2024-03,Tools,14154,8
PO076,SUP040,B046,2024-04,Tools,14575,9
PO077,SUP045,B053,2024-05,Tools,14996,10
PO078,SUP050,B060,2024-06,Tools,15417,11
PO079,SUP055,B067,2024-07,Tools,15838,12
PO080,SUP060,B074,2024-08,Tools,16259,13
PO081,SUP065,B001,2024-09,Tools,16680,4
PO082,SUP070,B008,2024-10,Tools,17101,5
PO083,SUP075,B015,2024-11,Tools,17522,6
PO084,SUP080,B022,2024-12,Tools,17943,7
PO085,SUP001,B029,2024-01,Raw_Materials,18364,8
PO086,SUP006,B036,2024-02,Raw_Materials,18785,9
PO087,SUP011,B043,2024-03,Raw_Materials,19206,10
PO088,SUP016,B050,2024-04,Raw_Materials,19627,11
PO089,SUP021,B057,2024-05,Raw_Materials,20048,12
PO090,SUP026,B064,2024-06,Raw_Materials,20469,13
PO091,SUP031,B071,2024-07,Raw_Materials,20890,4
PO092,SUP036,B078,2024-08,Raw_Materials,21311,5
PO093,SUP041,B005,2024-09,Raw_Materials,21732,6
PO094,SUP046,B012,2024-10,Raw_Materials,22153,7
PO095,SUP051,B019,2024-11,Raw_Materials,22574,8
PO096,SUP056,B026,2024-12,Raw_Materials,22995,9
PO097,SUP061,B033,2024-01,Raw_Materials,23416,10
PO098,SUP066,B040,2024-02,Raw_Materials,23837,11
PO099,SUP071,B047,2024-03,Raw_Materials,24258,12
PO100,SUP076,B054,2024-04,Raw_Materials,24679,13
PO101,SUP081,B061,2024-05,Raw_Materials,25100,4
PO102,SUP002,B068,2024-06,Packaging,25521,5
PO103,SUP007,B075,2024-07,Packaging,25942,6
PO104,SUP012,B002,2024-08,Packaging,26363,7
PO105,SUP017,B009,2024-09,Packaging,26784,8
PO106,SUP022,B016,2024-10,Packaging,27205,9
PO107,SUP027,B023,2024-11,Packaging,27626,10
PO108,SUP032,B030,2024-12,Packaging,28047,11
PO109,SUP037,B037,2024-01,Packaging,28468,12
PO110,SUP042,B044,2024-02,Packaging,28889,13
PO111,SUP047,B051,2024-03,Packaging,29310,4
PO112,SUP052,B058,2024-04,Packaging,29731,5
PO113,SUP057,B065,2024-05,Packaging,30152,6
PO114,SUP062,B072,2024-06,Packaging,30573,7
PO115,SUP067,B079,2024-07,Packaging,30994,8
PO116,SUP072,B006,2024-08,Packaging,31415,9
PO117,SUP077,B013,2024-09,Packaging,31836,10
PO118,SUP082,B020,2024-10,Packaging,32257,11
PO119,SUP003,B027,2024-11,Components,32678,12
PO120,SUP008,B034,2024-12,Components,33099,13
