POID,SupplierID,ActualDays,ReceivedQty,AcceptedQty,FreightCost,DeliveryRegion
PO001,SUP001,3,420,412,380,EU
PO002,SUP006,7,433,418,397,NA
PO003,SUP011,6,446,424,414,APAC
PO004,SUP016,10,459,430,431,UK
PO005,SUP021,9,472,436,448,EU
PO006,SUP026,8,485,477,465,NA
PO007,SUP031,12,498,483,482,APAC
PO008,SUP036,11,511,489,499,UK
PO009,SUP041,15,524,495,516,EU
PO010,SUP046,14,537,501,533,NA
PO011,SUP051,3,550,542,550,APAC
PO012,SUP056,7,563,548,567,UK
PO013,SUP061,6,576,554,584,EU
PO014,SUP066,10,589,560,601,NA
PO015,SUP071,9,602,566,618,APAC
PO016,SUP076,8,615,607,635,UK
PO017,SUP081,12,628,613,652,EU
PO018,SUP002,11,641,619,669,NA
PO019,SUP007,15,654,625,686,APAC
PO020,SUP012,14,667,631,703,UK
PO021,SUP017,3,680,672,720,EU
PO022,SUP022,7,693,678,737,NA
PO023,SUP027,6,706,684,754,APAC
PO024,SUP032,10,719,690,771,UK
PO025,SUP037,9,732,696,788,EU
PO026,SUP042,8,745,737,805,NA
PO027,SUP047,12,758,743,822,APAC
PO028,SUP052,11,771,749,839,UK
PO029,SUP057,15,424,395,856,EU
PO030,SUP062,14,437,401,873,NA
PO031,SUP067,3,450,442,890,APAC
PO032,SUP072,7,463,448,907,UK
PO033,SUP077,6,476,454,924,EU
PO034,SUP082,10,489,460,941,NA
PO035,SUP003,9,502,466,958,APAC
PO036,SUP008,8,515,507,975,UK
PO037,SUP013,12,528,513,992,EU
PO038,SUP018,11,541,519,1009,NA
PO039,SUP023,15,554,525,1026,APAC
PO040,SUP028,14,567,531,1043,UK
PO041,SUP033,3,580,572,1060,EU
PO042,SUP038,7,593,578,1077,NA
PO043,SUP043,6,606,584,1094,APAC
PO044,SUP048,10,619,590,1111,UK
PO045,SUP053,9,632,596,1128,EU
PO046,SUP058,8,645,637,385,NA
PO047,SUP063,12,658,643,402,APAC
PO048,SUP068,11,671,649,419,UK
PO049,SUP073,15,684,655,436,EU
PO050,SUP078,14,697,661,453,NA
PO051,SUP083,3,710,702,470,APAC
PO052,SUP004,7,723,708,487,UK
PO053,SUP009,6,736,714,504,EU
PO054,SUP014,10,749,720,521,NA
PO055,SUP019,9,762,726,538,APAC
PO056,SUP024,8,775,767,555,UK
PO057,SUP029,12,428,413,572,EU
PO058,SUP034,11,441,419,589,NA
PO059,SUP039,15,454,425,606,APAC
PO060,SUP044,14,467,431,623,UK
PO061,SUP049,3,480,472,640,EU
PO062,SUP054,7,493,478,657,NA
PO063,SUP059,6,506,484,674,APAC
PO064,SUP064,10,519,490,691,UK
PO065,SUP069,9,532,496,708,EU
PO066,SUP074,8,545,537,725,NA
PO067,SUP079,12,558,543,742,APAC
PO068,SUP084,11,571,549,759,UK
PO069,SUP005,15,584,555,776,EU
PO070,SUP010,14,597,561,793,NA
PO071,SUP015,3,610,602,810,APAC
PO072,SUP020,7,623,608,827,UK
PO073,SUP025,6,636,614,844,EU
PO074,SUP030,10,649,620,861,NA
PO075,SUP035,9,662,626,878,APAC
PO076,SUP040,8,675,667,895,UK
PO077,SUP045,12,688,673,912,EU
PO078,SUP050,11,701,679,929,NA
PO079,SUP055,15,714,685,946,APAC
PO080,SUP060,14,727,691,963,UK
PO081,SUP065,3,740,732,980,EU
PO082,SUP070,7,753,738,997,NA
PO083,SUP075,6,766,744,1014,APAC
PO084,SUP080,10,779,750,1031,UK
PO085,SUP001,9,432,396,1048,EU
PO086,SUP006,8,445,437,1065,NA
PO087,SUP011,12,458,443,1082,APAC
PO088,SUP016,11,471,449,1099,UK
PO089,SUP021,15,484,455,1116,EU
PO090,SUP026,14,497,461,1133,NA
PO091,SUP031,3,510,502,390,APAC
PO092,SUP036,7,523,508,407,UK
PO093,SUP041,6,536,514,424,EU
PO094,SUP046,10,549,520,441,NA
PO095,SUP051,9,562,526,458,APAC
PO096,SUP056,8,575,567,475,UK
PO097,SUP061,12,588,573,492,EU
PO098,SUP066,11,601,579,509,NA
PO099,SUP071,15,614,585,526,APAC
PO100,SUP076,14,627,591,543,UK
PO101,SUP081,3,640,632,560,EU
PO102,SUP002,7,653,638,577,NA
PO103,SUP007,6,666,644,594,APAC
PO104,SUP012,10,679,650,611,UK
PO105,SUP017,9,692,656,628,EU
PO106,SUP022,8,705,697,645,NA
PO107,SUP027,12,718,703,662,APAC
PO108,SUP032,11,731,709,679,UK
PO109,SUP037,15,744,715,696,EU
PO110,SUP042,14,757,721,713,NA
PO111,SUP047,3,770,762,730,APAC
PO112,SUP052,7,423,408,747,UK
PO113,SUP057,6,436,414,764,EU
PO114,SUP062,10,449,420,781,NA
PO115,SUP067,9,462,426,798,APAC
PO116,SUP072,8,475,467,815,UK
PO117,SUP077,12,488,473,832,EU
PO118,SUP082,11,501,479,849,NA
PO119,SUP003,15,514,485,866,APAC
PO120,SUP008,14,527,491,883,UK
