POID,SupplierID,InspectionScore,DefectUnits,ReturnedUnits,AuditPass
PO001,SUP001,71,8,2,Review
PO002,SUP006,75,15,7,Pass
PO003,SUP011,79,22,12,Pass
PO004,SUP016,83,29,5,Pass
PO005,SUP021,87,36,10,Pass
PO006,SUP026,91,8,3,Pass
PO007,SUP031,95,15,8,Review
PO008,SUP036,71,22,13,Pass
PO009,SUP041,75,29,6,Pass
PO010,SUP046,79,36,11,Pass
PO011,SUP051,83,8,4,Pass
PO012,SUP056,87,15,9,Pass
PO013,SUP061,91,22,2,Review
PO014,SUP066,95,29,7,Pass
PO015,SUP071,71,36,12,Pass
PO016,SUP076,75,8,5,Pass
PO017,SUP081,79,15,10,Pass
PO018,SUP002,83,22,3,Pass
PO019,SUP007,87,29,8,Review
PO020,SUP012,91,36,13,Pass
PO021,SUP017,95,8,6,Pass
PO022,SUP022,71,15,11,Pass
PO023,SUP027,75,22,4,Pass
PO024,SUP032,79,29,9,Pass
PO025,SUP037,83,36,2,Review
PO026,SUP042,87,8,7,Pass
PO027,SUP047,91,15,12,Pass
PO028,SUP052,95,22,5,Pass
PO029,SUP057,71,29,10,Pass
PO030,SUP062,75,36,3,Pass
PO031,SUP067,79,8,8,Review
PO032,SUP072,83,15,13,Pass
PO033,SUP077,87,22,6,Pass
PO034,SUP082,91,29,11,Pass
PO035,SUP003,95,36,4,Pass
PO036,SUP008,71,8,9,Pass
PO037,SUP013,75,15,2,Review
PO038,SUP018,79,22,7,Pass
PO039,SUP023,83,29,12,Pass
PO040,SUP028,87,36,5,Pass
PO041,SUP033,91,8,10,Pass
PO042,SUP038,95,15,3,Pass
PO043,SUP043,71,22,8,Review
PO044,SUP048,75,29,13,Pass
PO045,SUP053,79,36,6,Pass
PO046,SUP058,83,8,11,Pass
PO047,SUP063,87,15,4,Pass
PO048,SUP068,91,22,9,Pass
PO049,SUP073,95,29,2,Review
PO050,SUP078,71,36,7,Pass
PO051,SUP083,75,8,12,Pass
PO052,SUP004,79,15,5,Pass
PO053,SUP009,83,22,10,Pass
PO054,SUP014,87,29,3,Pass
PO055,SUP019,91,36,8,Review
PO056,SUP024,95,8,13,Pass
PO057,SUP029,71,15,6,Pass
PO058,SUP034,75,22,11,Pass
PO059,SUP039,79,29,4,Pass
PO060,SUP044,83,36,9,Pass
PO061,SUP049,87,8,2,Review
PO062,SUP054,91,15,7,Pass
PO063,SUP059,95,22,12,Pass
PO064,SUP064,71,29,5,Pass
PO065,SUP069,75,36,10,Pass
PO066,SUP074,79,8,3,Pass
PO067,SUP079,83,15,8,Review
PO068,SUP084,87,22,13,Pass
PO069,SUP005,91,29,6,Pass
PO070,SUP010,95,36,11,Pass
PO071,SUP015,71,8,4,Pass
PO072,SUP020,75,15,9,Pass
PO073,SUP025,79,22,2,Review
PO074,SUP030,83,29,7,Pass
PO075,SUP035,87,36,12,Pass
PO076,SUP040,91,8,5,Pass
PO077,SUP045,95,15,10,Pass
PO078,SUP050,71,22,3,Pass
PO079,SUP055,75,29,8,Review
PO080,SUP060,79,36,13,Pass
PO081,SUP065,83,8,6,Pass
PO082,SUP070,87,15,11,Pass
PO083,SUP075,91,22,4,Pass
PO084,SUP080,95,29,9,Pass
PO085,SUP001,71,36,2,Review
PO086,SUP006,75,8,7,Pass
PO087,SUP011,79,15,12,Pass
PO088,SUP016,83,22,5,Pass
PO089,SUP021,87,29,10,Pass
PO090,SUP026,91,36,3,Pass
PO091,SUP031,95,8,8,Review
PO092,SUP036,71,15,13,Pass
PO093,SUP041,75,22,6,Pass
PO094,SUP046,79,29,11,Pass
PO095,SUP051,83,36,4,Pass
PO096,SUP056,87,8,9,Pass
PO097,SUP061,91,15,2,Review
PO098,SUP066,95,22,7,Pass
PO099,SUP071,71,29,12,Pass
PO100,SUP076,75,36,5,Pass
PO101,SUP081,79,8,10,Pass
PO102,SUP002,83,15,3,Pass
PO103,SUP007,87,22,8,Review
PO104,SUP012,91,29,13,Pass
PO105,SUP017,95,36,6,Pass
PO106,SUP022,71,8,11,Pass
PO107,SUP027,75,15,4,Pass
PO108,SUP032,79,22,9,Pass
PO109,SUP037,83,29,2,Review
PO110,SUP042,87,36,7,Pass
PO111,SUP047,91,8,12,Pass
PO112,SUP052,95,15,5,Pass
PO113,SUP057,71,22,10,Pass
PO114,SUP062,75,29,3,Pass
PO115,SUP067,79,36,8,Review
PO116,SUP072,83,8,13,Pass
PO117,SUP077,87,15,6,Pass
PO118,SUP082,91,22,11,Pass
PO119,SUP003,95,29,4,Pass
PO120,SUP008,71,36,9,Pass
