CourseID,CourseName,School,Subject,Credits,CoreFlag,Level
C001,Course_001,School_A,Analytics,2,Core,PG
C002,Course_002,School_B,Finance,3,Elective,UG
C003,Course_003,School_C,Biology,4,Core,PG
C004,Course_004,School_D,History,2,Elective,UG
C005,Course_005,School_E,Design,3,Core,PG
C006,Course_006,School_A,Economics,4,Elective,UG
C007,Course_007,School_B,Analytics,2,Core,PG
C008,Course_008,School_C,Finance,3,Elective,UG
C009,Course_009,School_D,Biology,4,Core,PG
C010,Course_010,School_E,History,2,Elective,UG
C011,Course_011,School_A,Design,3,Core,PG
C012,Course_012,School_B,Economics,4,Elective,UG
C013,Course_013,School_C,Analytics,2,Core,PG
C014,Course_014,School_D,Finance,3,Elective,UG
C015,Course_015,School_E,Biology,4,Core,PG
C016,Course_016,School_A,History,2,Elective,UG
C017,Course_017,School_B,Design,3,Core,PG
C018,Course_018,School_C,Economics,4,Elective,UG
C019,Course_019,School_D,Analytics,2,Core,PG
C020,Course_020,School_E,Finance,3,Elective,UG
C021,Course_021,School_A,Biology,4,Core,PG
C022,Course_022,School_B,History,2,Elective,UG
C023,Course_023,School_C,Design,3,Core,PG
C024,Course_024,School_D,Economics,4,Elective,UG
C025,Course_025,School_E,Analytics,2,Core,PG
C026,Course_026,School_A,Finance,3,Elective,UG
C027,Course_027,School_B,Biology,4,Core,PG
C028,Course_028,School_C,History,2,Elective,UG
C029,Course_029,School_D,Design,3,Core,PG
C030,Course_030,School_E,Economics,4,Elective,UG
C031,Course_031,School_A,Analytics,2,Core,PG
C032,Course_032,School_B,Finance,3,Elective,UG
C033,Course_033,School_C,Biology,4,Core,PG
C034,Course_034,School_D,History,2,Elective,UG
C035,Course_035,School_E,Design,3,Core,PG
C036,Course_036,School_A,Economics,4,Elective,UG
C037,Course_037,School_B,Analytics,2,Core,PG
C038,Course_038,School_C,Finance,3,Elective,UG
C039,Course_039,School_D,Biology,4,Core,PG
C040,Course_040,School_E,History,2,Elective,UG
C041,Course_041,School_A,Design,3,Core,PG
C042,Course_042,School_B,Economics,4,Elective,UG
C043,Course_043,School_C,Analytics,2,Core,PG
C044,Course_044,School_D,Finance,3,Elective,UG
C045,Course_045,School_E,Biology,4,Core,PG
C046,Course_046,School_A,History,2,Elective,UG
C047,Course_047,School_B,Design,3,Core,PG
C048,Course_048,School_C,Economics,4,Elective,UG
C049,Course_049,School_D,Analytics,2,Core,PG
C050,Course_050,School_E,Finance,3,Elective,UG
C051,Course_051,School_A,Biology,4,Core,PG
C052,Course_052,School_B,History,2,Elective,UG
C053,Course_053,School_C,Design,3,Core,PG
C054,Course_054,School_D,Economics,4,Elective,UG
C055,Course_055,School_E,Analytics,2,Core,PG
C056,Course_056,School_A,Finance,3,Elective,UG
C057,Course_057,School_B,Biology,4,Core,PG
C058,Course_058,School_C,History,2,Elective,UG
C059,Course_059,School_D,Design,3,Core,PG
C060,Course_060,School_E,Economics,4,Elective,UG
C061,Course_061,School_A,Analytics,2,Core,PG
C062,Course_062,School_B,Finance,3,Elective,UG
C063,Course_063,School_C,Biology,4,Core,PG
C064,Course_064,School_D,History,2,Elective,UG
C065,Course_065,School_E,Design,3,Core,PG
C066,Course_066,School_A,Economics,4,Elective,UG
C067,Course_067,School_B,Analytics,2,Core,PG
C068,Course_068,School_C,Finance,3,Elective,UG
C069,Course_069,School_D,Biology,4,Core,PG
C070,Course_070,School_E,History,2,Elective,UG
C071,Course_071,School_A,Design,3,Core,PG
C072,Course_072,School_B,Economics,4,Elective,UG
C073,Course_073,School_C,Analytics,2,Core,PG
C074,Course_074,School_D,Finance,3,Elective,UG
C075,Course_075,School_E,Biology,4,Core,PG
C076,Course_076,School_A,History,2,Elective,UG
C077,Course_077,School_B,Design,3,Core,PG
C078,Course_078,School_C,Economics,4,Elective,UG
C079,Course_079,School_D,Analytics,2,Core,PG
C080,Course_080,School_E,Finance,3,Elective,UG
