EnrollID,StudentID,SectionID,EnrollStatus,UnitsTaken,GradeBasis,WaitlistPosition
EN001,STU001,SEC001,Enrolled,2,Letter,0
EN002,STU008,SEC004,Enrolled,2,Letter,0
EN003,STU015,SEC007,Enrolled,2,Letter,0
EN004,STU022,SEC010,Waitlist,2,Letter,4
EN005,STU029,SEC013,Enrolled,2,Letter,0
EN006,STU036,SEC016,Enrolled,2,Letter,0
EN007,STU043,SEC019,Enrolled,3,Letter,0
EN008,STU050,SEC022,Waitlist,3,Letter,8
EN009,STU057,SEC025,Enrolled,3,Letter,0
EN010,STU064,SEC028,Enrolled,3,Letter,0
EN011,STU071,SEC031,Enrolled,3,Letter,0
EN012,STU078,SEC034,Waitlist,4,Letter,4
EN013,STU001,SEC037,Enrolled,4,Letter,0
EN014,STU008,SEC040,Enrolled,4,Letter,0
EN015,STU015,SEC043,Enrolled,4,Letter,0
EN016,STU022,SEC046,Waitlist,4,Letter,8
EN017,STU029,SEC049,Enrolled,2,Letter,0
EN018,STU036,SEC052,Enrolled,2,Letter,0
EN019,STU043,SEC055,Enrolled,2,Letter,0
EN020,STU050,SEC058,Waitlist,2,Letter,4
EN021,STU057,SEC061,Enrolled,2,Letter,0
EN022,STU064,SEC064,Enrolled,2,Letter,0
EN023,STU071,SEC067,Enrolled,3,Letter,0
EN024,STU078,SEC070,Waitlist,3,Letter,8
EN025,STU001,SEC073,Enrolled,3,Letter,0
EN026,STU008,SEC076,Enrolled,3,Letter,0
EN027,STU015,SEC079,Enrolled,3,Letter,0
EN028,STU022,SEC082,Waitlist,4,Letter,4
EN029,STU029,SEC085,Enrolled,4,Letter,0
EN030,STU036,SEC088,Enrolled,4,Letter,0
EN031,STU043,SEC001,Enrolled,2,Letter,0
EN032,STU050,SEC004,Waitlist,2,Letter,8
EN033,STU057,SEC007,Enrolled,2,Letter,0
EN034,STU064,SEC010,Enrolled,2,Letter,0
EN035,STU071,SEC013,Enrolled,2,Letter,0
EN036,STU078,SEC016,Waitlist,2,Letter,4
EN037,STU001,SEC019,Enrolled,3,Letter,0
EN038,STU008,SEC022,Enrolled,3,Letter,0
EN039,STU015,SEC025,Enrolled,3,Letter,0
EN040,STU022,SEC028,Waitlist,3,Letter,8
EN041,STU029,SEC031,Enrolled,3,Letter,0
EN042,STU036,SEC034,Enrolled,4,Letter,0
EN043,STU043,SEC037,Enrolled,4,Letter,0
EN044,STU050,SEC040,Waitlist,4,Letter,4
EN045,STU057,SEC043,Enrolled,4,Letter,0
EN046,STU064,SEC046,Enrolled,4,Letter,0
EN047,STU071,SEC049,Enrolled,2,Letter,0
EN048,STU078,SEC052,Waitlist,2,Letter,8
EN049,STU001,SEC055,Enrolled,2,Letter,0
EN050,STU008,SEC058,Enrolled,2,Letter,0
EN051,STU015,SEC061,Enrolled,2,Letter,0
EN052,STU022,SEC064,Waitlist,2,Letter,4
EN053,STU029,SEC067,Enrolled,3,Letter,0
EN054,STU036,SEC070,Enrolled,3,Letter,0
EN055,STU043,SEC073,Enrolled,3,Letter,0
EN056,STU050,SEC076,Waitlist,3,Letter,8
EN057,STU057,SEC079,Enrolled,3,Letter,0
EN058,STU064,SEC082,Enrolled,4,Letter,0
EN059,STU071,SEC085,Enrolled,4,Letter,0
