RoomID,Building,RoomType,Capacity,Floor,AVReady,Campus
R001,North,Lecture,24,1,Yes,Main
R002,South,Lab,27,2,Yes,Main
R003,East,Seminar,30,3,Yes,Main
R004,West,Studio,33,4,Yes,Main
R005,Central,Lecture,36,5,Yes,Main
R006,North,Lab,39,6,Yes,Main
R007,South,Seminar,42,1,Yes,Main
R008,East,Studio,45,2,Yes,Main
R009,West,Lecture,48,3,Yes,Main
R010,Central,Lab,51,4,Yes,Main
R011,North,Seminar,54,5,Yes,Main
R012,South,Studio,57,6,Yes,Main
R013,East,Lecture,60,1,Yes,Main
R014,West,Lab,63,2,Yes,Main
R015,Central,Seminar,66,3,Yes,Main
R016,North,Studio,69,4,Yes,Main
R017,South,Lecture,26,5,Yes,Main
R018,East,Lab,29,6,Yes,Main
R019,West,Seminar,32,1,Yes,Main
R020,Central,Studio,35,2,Yes,Main
R021,North,Lecture,38,3,Yes,Main
R022,South,Lab,41,4,Yes,Main
R023,East,Seminar,44,5,Yes,Main
R024,West,Studio,47,6,Yes,Main
R025,Central,Lecture,50,1,Yes,Main
R026,North,Lab,53,2,Yes,Main
R027,South,Seminar,56,3,Yes,Main
R028,East,Studio,59,4,Yes,Main
R029,West,Lecture,62,5,Yes,Main
R030,Central,Lab,65,6,Yes,Main
R031,North,Seminar,68,1,Yes,Main
R032,South,Studio,25,2,Yes,Main
R033,East,Lecture,28,3,Yes,Main
R034,West,Lab,31,4,Yes,Main
R035,Central,Seminar,34,5,Yes,Main
R036,North,Studio,37,6,Yes,Main
R037,South,Lecture,40,1,Yes,Main
R038,East,Lab,43,2,Yes,Main
R039,West,Seminar,46,3,Yes,Main
R040,Central,Studio,49,4,Yes,Main
R041,North,Lecture,52,5,Yes,Main
R042,South,Lab,55,6,Yes,Main
R043,East,Seminar,58,1,Yes,Main
R044,West,Studio,61,2,Yes,Main
R045,Central,Lecture,64,3,Yes,Main
R046,North,Lab,67,4,Yes,Main
R047,South,Seminar,24,5,Yes,Main
R048,East,Studio,27,6,Yes,Main
R049,West,Lecture,30,1,Yes,Main
R050,Central,Lab,33,2,Yes,Main
R051,North,Seminar,36,3,Yes,Main
R052,South,Studio,39,4,Yes,Main
R053,East,Lecture,42,5,Yes,Main
R054,West,Lab,45,6,Yes,Main
R055,Central,Seminar,48,1,Yes,Main
R056,North,Studio,51,2,Yes,Main
R057,South,Lecture,54,3,Yes,Main
R058,East,Lab,57,4,Yes,Main
R059,West,Seminar,60,5,Yes,Main
R060,Central,Studio,63,6,Yes,Main
R061,North,Lecture,66,1,Yes,Main
R062,South,Lab,69,2,Yes,Main
R063,East,Seminar,26,3,Yes,Main
R064,West,Studio,29,4,Yes,Main
R065,Central,Lecture,32,5,Yes,Main
R066,North,Lab,35,6,Yes,Main
R067,South,Seminar,38,1,Yes,Main
R068,East,Studio,41,2,Yes,Main
R069,West,Lecture,44,3,Yes,Main
R070,Central,Lab,47,4,Yes,Main
R071,North,Seminar,50,5,Yes,Main
R072,South,Studio,53,6,Yes,Main
R073,East,Lecture,56,1,Yes,Main
R074,West,Lab,59,2,Yes,Main
R075,Central,Seminar,62,3,Yes,Main
R076,North,Studio,65,4,Yes,Main
R077,South,Lecture,68,5,Yes,Main
R078,East,Lab,25,6,Yes,Main
R079,West,Seminar,28,1,Yes,Main
R080,Central,Studio,31,2,Yes,Main
