DoctorID,DoctorName,ClinicID,Specialty,Grade,SessionsPerWeek,ActiveFlag
D001,Doctor_001,CL001,Cardiology,Consultant,4,Yes
D002,Doctor_002,CL004,Dermatology,Senior,5,Yes
D003,Doctor_003,CL007,Neurology,Associate,6,Yes
D004,Doctor_004,CL010,Orthopedics,Consultant,7,Yes
D005,Doctor_005,CL013,General,Senior,8,Yes
D006,Doctor_006,CL016,Pediatrics,Associate,9,Yes
D007,Doctor_007,CL019,Cardiology,Consultant,4,Yes
D008,Doctor_008,CL022,Dermatology,Senior,5,Yes
D009,Doctor_009,CL025,Neurology,Associate,6,Yes
D010,Doctor_010,CL028,Orthopedics,Consultant,7,Yes
D011,Doctor_011,CL031,General,Senior,8,Yes
D012,Doctor_012,CL034,Pediatrics,Associate,9,Yes
D013,Doctor_013,CL037,Cardiology,Consultant,4,Yes
D014,Doctor_014,CL040,Dermatology,Senior,5,Yes
D015,Doctor_015,CL043,Neurology,Associate,6,Yes
D016,Doctor_016,CL046,Orthopedics,Consultant,7,Yes
D017,Doctor_017,CL049,General,Senior,8,Yes
D018,Doctor_018,CL052,Pediatrics,Associate,9,Yes
D019,Doctor_019,CL055,Cardiology,Consultant,4,Yes
D020,Doctor_020,CL058,Dermatology,Senior,5,Yes
D021,Doctor_021,CL061,Neurology,Associate,6,Yes
D022,Doctor_022,CL064,Orthopedics,Consultant,7,Yes
D023,Doctor_023,CL067,General,Senior,8,Yes
D024,Doctor_024,CL070,Pediatrics,Associate,9,Yes
D025,Doctor_025,CL073,Cardiology,Consultant,4,Yes
D026,Doctor_026,CL076,Dermatology,Senior,5,Yes
D027,Doctor_027,CL079,Neurology,Associate,6,Yes
D028,Doctor_028,CL002,Orthopedics,Consultant,7,Yes
D029,Doctor_029,CL005,General,Senior,8,Yes
D030,Doctor_030,CL008,Pediatrics,Associate,9,Yes
D031,Doctor_031,CL011,Cardiology,Consultant,4,Yes
D032,Doctor_032,CL014,Dermatology,Senior,5,Yes
D033,Doctor_033,CL017,Neurology,Associate,6,Yes
D034,Doctor_034,CL020,Orthopedics,Consultant,7,Yes
D035,Doctor_035,CL023,General,Senior,8,Yes
D036,Doctor_036,CL026,Pediatrics,Associate,9,Yes
D037,Doctor_037,CL029,Cardiology,Consultant,4,Yes
D038,Doctor_038,CL032,Dermatology,Senior,5,Yes
D039,Doctor_039,CL035,Neurology,Associate,6,Yes
D040,Doctor_040,CL038,Orthopedics,Consultant,7,Yes
D041,Doctor_041,CL041,General,Senior,8,Yes
D042,Doctor_042,CL044,Pediatrics,Associate,9,Yes
D043,Doctor_043,CL047,Cardiology,Consultant,4,Yes
D044,Doctor_044,CL050,Dermatology,Senior,5,Yes
D045,Doctor_045,CL053,Neurology,Associate,6,Yes
D046,Doctor_046,CL056,Orthopedics,Consultant,7,Yes
D047,Doctor_047,CL059,General,Senior,8,Yes
D048,Doctor_048,CL062,Pediatrics,Associate,9,Yes
D049,Doctor_049,CL065,Cardiology,Consultant,4,Yes
D050,Doctor_050,CL068,Dermatology,Senior,5,Yes
D051,Doctor_051,CL071,Neurology,Associate,6,Yes
D052,Doctor_052,CL074,Orthopedics,Consultant,7,Yes
D053,Doctor_053,CL077,General,Senior,8,Yes
D054,Doctor_054,CL080,Pediatrics,Associate,9,Yes
D055,Doctor_055,CL003,Cardiology,Consultant,4,Yes
D056,Doctor_056,CL006,Dermatology,Senior,5,Yes
D057,Doctor_057,CL009,Neurology,Associate,6,Yes
D058,Doctor_058,CL012,Orthopedics,Consultant,7,Yes
D059,Doctor_059,CL015,General,Senior,8,Yes
D060,Doctor_060,CL018,Pediatrics,Associate,9,Yes
D061,Doctor_061,CL021,Cardiology,Consultant,4,Yes
D062,Doctor_062,CL024,Dermatology,Senior,5,Yes
D063,Doctor_063,CL027,Neurology,Associate,6,Yes
D064,Doctor_064,CL030,Orthopedics,Consultant,7,Yes
D065,Doctor_065,CL033,General,Senior,8,Yes
D066,Doctor_066,CL036,Pediatrics,Associate,9,Yes
D067,Doctor_067,CL039,Cardiology,Consultant,4,Yes
D068,Doctor_068,CL042,Dermatology,Senior,5,Yes
D069,Doctor_069,CL045,Neurology,Associate,6,Yes
D070,Doctor_070,CL048,Orthopedics,Consultant,7,Yes
D071,Doctor_071,CL051,General,Senior,8,Yes
D072,Doctor_072,CL054,Pediatrics,Associate,9,Yes
D073,Doctor_073,CL057,Cardiology,Consultant,4,Yes
D074,Doctor_074,CL060,Dermatology,Senior,5,Yes
D075,Doctor_075,CL063,Neurology,Associate,6,Yes
D076,Doctor_076,CL066,Orthopedics,Consultant,7,Yes
D077,Doctor_077,CL069,General,Senior,8,Yes
D078,Doctor_078,CL072,Pediatrics,Associate,9,Yes
D079,Doctor_079,CL075,Cardiology,Consultant,4,Yes
D080,Doctor_080,CL078,Dermatology,Senior,5,Yes
D081,Doctor_081,CL001,Neurology,Associate,6,Yes
D082,Doctor_082,CL004,Orthopedics,Consultant,7,Yes
D083,Doctor_083,CL007,General,Senior,8,Yes
D084,Doctor_084,CL010,Pediatrics,Associate,9,Yes
