WarehouseID,WarehouseName,Region,Manager,AreaSqm,DockCount,ShiftPattern
W001,Warehouse_001,North,Manager_01,1800,4,Day
W002,Warehouse_002,South,Manager_02,1825,5,Night
W003,Warehouse_003,East,Manager_03,1850,6,Split
W004,Warehouse_004,West,Manager_04,1875,7,Day
W005,Warehouse_005,North,Manager_05,1900,8,Night
W006,Warehouse_006,South,Manager_06,1925,9,Split
W007,Warehouse_007,East,Manager_07,1950,10,Day
W008,Warehouse_008,West,Manager_08,1975,4,Night
W009,Warehouse_009,North,Manager_09,2000,5,Split
W010,Warehouse_010,South,Manager_10,2025,6,Day
W011,Warehouse_011,East,Manager_11,2050,7,Night
W012,Warehouse_012,West,Manager_12,2075,8,Split
W013,Warehouse_013,North,Manager_13,2100,9,Day
W014,Warehouse_014,South,Manager_14,2125,10,Night
W015,Warehouse_015,East,Manager_01,2150,4,Split
W016,Warehouse_016,West,Manager_02,2175,5,Day
W017,Warehouse_017,North,Manager_03,2200,6,Night
W018,Warehouse_018,South,Manager_04,2225,7,Split
W019,Warehouse_019,East,Manager_05,2250,8,Day
W020,Warehouse_020,West,Manager_06,2275,9,Night
W021,Warehouse_021,North,Manager_07,2300,10,Split
W022,Warehouse_022,South,Manager_08,2325,4,Day
W023,Warehouse_023,East,Manager_09,2350,5,Night
W024,Warehouse_024,West,Manager_10,2375,6,Split
W025,Warehouse_025,North,Manager_11,2400,7,Day
W026,Warehouse_026,South,Manager_12,2425,8,Night
W027,Warehouse_027,East,Manager_13,2450,9,Split
W028,Warehouse_028,West,Manager_14,2475,10,Day
W029,Warehouse_029,North,Manager_01,2500,4,Night
W030,Warehouse_030,South,Manager_02,2525,5,Split
W031,Warehouse_031,East,Manager_03,2550,6,Day
W032,Warehouse_032,West,Manager_04,2575,7,Night
W033,Warehouse_033,North,Manager_05,2600,8,Split
W034,Warehouse_034,South,Manager_06,2625,9,Day
W035,Warehouse_035,East,Manager_07,2650,10,Night
W036,Warehouse_036,West,Manager_08,2675,4,Split
W037,Warehouse_037,North,Manager_09,2700,5,Day
W038,Warehouse_038,South,Manager_10,2725,6,Night
W039,Warehouse_039,East,Manager_11,2750,7,Split
W040,Warehouse_040,West,Manager_12,2775,8,Day
W041,Warehouse_041,North,Manager_13,2800,9,Night
W042,Warehouse_042,South,Manager_14,2825,10,Split
W043,Warehouse_043,East,Manager_01,2850,4,Day
W044,Warehouse_044,West,Manager_02,2875,5,Night
W045,Warehouse_045,North,Manager_03,2900,6,Split
W046,Warehouse_046,South,Manager_04,2925,7,Day
W047,Warehouse_047,East,Manager_05,2950,8,Night
W048,Warehouse_048,West,Manager_06,2975,9,Split
W049,Warehouse_049,North,Manager_07,3000,10,Day
W050,Warehouse_050,South,Manager_08,3025,4,Night
W051,Warehouse_051,East,Manager_09,3050,5,Split
W052,Warehouse_052,West,Manager_10,3075,6,Day
W053,Warehouse_053,North,Manager_11,3100,7,Night
W054,Warehouse_054,South,Manager_12,3125,8,Split
W055,Warehouse_055,East,Manager_13,3150,9,Day
W056,Warehouse_056,West,Manager_14,3175,10,Night
W057,Warehouse_057,North,Manager_01,3200,4,Split
W058,Warehouse_058,South,Manager_02,3225,5,Day
W059,Warehouse_059,East,Manager_03,3250,6,Night
W060,Warehouse_060,West,Manager_04,3275,7,Split
W061,Warehouse_061,North,Manager_05,3300,8,Day
W062,Warehouse_062,South,Manager_06,3325,9,Night
W063,Warehouse_063,East,Manager_07,3350,10,Split
W064,Warehouse_064,West,Manager_08,3375,4,Day
W065,Warehouse_065,North,Manager_09,3400,5,Night
W066,Warehouse_066,South,Manager_10,3425,6,Split
W067,Warehouse_067,East,Manager_11,3450,7,Day
W068,Warehouse_068,West,Manager_12,3475,8,Night
W069,Warehouse_069,North,Manager_13,3500,9,Split
W070,Warehouse_070,South,Manager_14,3525,10,Day
W071,Warehouse_071,East,Manager_01,3550,4,Night
W072,Warehouse_072,West,Manager_02,3575,5,Split
W073,Warehouse_073,North,Manager_03,3600,6,Day
W074,Warehouse_074,South,Manager_04,3625,7,Night
W075,Warehouse_075,East,Manager_05,3650,8,Split
W076,Warehouse_076,West,Manager_06,3675,9,Day
W077,Warehouse_077,North,Manager_07,3700,10,Night
W078,Warehouse_078,South,Manager_08,3725,4,Split
W079,Warehouse_079,East,Manager_09,3750,5,Day
W080,Warehouse_080,West,Manager_10,3775,6,Night
