SKU,SKUName,Category,UnitWeightKg,UnitValue,ShelfLifeDays,HazmatFlag
SKU001,SKU_001,Electronics,0.5,12,60,Yes
SKU002,SKU_002,Apparel,1.5,21,65,No
SKU003,SKU_003,Home,2.5,30,70,No
SKU004,SKU_004,Beauty,3.5,39,75,No
SKU005,SKU_005,Auto,4.5,48,80,No
SKU006,SKU_006,Electronics,5.5,57,85,No
SKU007,SKU_007,Apparel,6.5,66,90,No
SKU008,SKU_008,Home,7.5,75,95,No
SKU009,SKU_009,Beauty,8.5,14,100,No
SKU010,SKU_010,Auto,0.5,23,105,No
SKU011,SKU_011,Electronics,1.5,32,110,No
SKU012,SKU_012,Apparel,2.5,41,115,Yes
SKU013,SKU_013,Home,3.5,50,120,No
SKU014,SKU_014,Beauty,4.5,59,125,No
SKU015,SKU_015,Auto,5.5,68,130,No
SKU016,SKU_016,Electronics,6.5,77,135,No
SKU017,SKU_017,Apparel,7.5,16,140,No
SKU018,SKU_018,Home,8.5,25,145,No
SKU019,SKU_019,Beauty,0.5,34,150,No
SKU020,SKU_020,Auto,1.5,43,155,No
SKU021,SKU_021,Electronics,2.5,52,160,No
SKU022,SKU_022,Apparel,3.5,61,165,No
SKU023,SKU_023,Home,4.5,70,170,Yes
SKU024,SKU_024,Beauty,5.5,79,175,No
SKU025,SKU_025,Auto,6.5,18,180,No
SKU026,SKU_026,Electronics,7.5,27,185,No
SKU027,SKU_027,Apparel,8.5,36,190,No
SKU028,SKU_028,Home,0.5,45,195,No
SKU029,SKU_029,Beauty,1.5,54,200,No
SKU030,SKU_030,Auto,2.5,63,205,No
SKU031,SKU_031,Electronics,3.5,72,210,No
SKU032,SKU_032,Apparel,4.5,81,215,No
SKU033,SKU_033,Home,5.5,20,220,No
SKU034,SKU_034,Beauty,6.5,29,225,Yes
SKU035,SKU_035,Auto,7.5,38,230,No
SKU036,SKU_036,Electronics,8.5,47,235,No
SKU037,SKU_037,Apparel,0.5,56,240,No
SKU038,SKU_038,Home,1.5,65,245,No
SKU039,SKU_039,Beauty,2.5,74,250,No
SKU040,SKU_040,Auto,3.5,13,255,No
SKU041,SKU_041,Electronics,4.5,22,260,No
SKU042,SKU_042,Apparel,5.5,31,265,No
SKU043,SKU_043,Home,6.5,40,270,No
SKU044,SKU_044,Beauty,7.5,49,275,No
SKU045,SKU_045,Auto,8.5,58,280,Yes
SKU046,SKU_046,Electronics,0.5,67,285,No
SKU047,SKU_047,Apparel,1.5,76,290,No
SKU048,SKU_048,Home,2.5,15,295,No
SKU049,SKU_049,Beauty,3.5,24,60,No
SKU050,SKU_050,Auto,4.5,33,65,No
SKU051,SKU_051,Electronics,5.5,42,70,No
SKU052,SKU_052,Apparel,6.5,51,75,No
SKU053,SKU_053,Home,7.5,60,80,No
SKU054,SKU_054,Beauty,8.5,69,85,No
SKU055,SKU_055,Auto,0.5,78,90,No
SKU056,SKU_056,Electronics,1.5,17,95,Yes
SKU057,SKU_057,Apparel,2.5,26,100,No
SKU058,SKU_058,Home,3.5,35,105,No
SKU059,SKU_059,Beauty,4.5,44,110,No
SKU060,SKU_060,Auto,5.5,53,115,No
SKU061,SKU_061,Electronics,6.5,62,120,No
SKU062,SKU_062,Apparel,7.5,71,125,No
SKU063,SKU_063,Home,8.5,80,130,No
SKU064,SKU_064,Beauty,0.5,19,135,No
SKU065,SKU_065,Auto,1.5,28,140,No
SKU066,SKU_066,Electronics,2.5,37,145,No
SKU067,SKU_067,Apparel,3.5,46,150,Yes
SKU068,SKU_068,Home,4.5,55,155,No
SKU069,SKU_069,Beauty,5.5,64,160,No
SKU070,SKU_070,Auto,6.5,73,165,No
SKU071,SKU_071,Electronics,7.5,12,170,No
SKU072,SKU_072,Apparel,8.5,21,175,No
SKU073,SKU_073,Home,0.5,30,180,No
SKU074,SKU_074,Beauty,1.5,39,185,No
SKU075,SKU_075,Auto,2.5,48,190,No
SKU076,SKU_076,Electronics,3.5,57,195,No
SKU077,SKU_077,Apparel,4.5,66,200,No
SKU078,SKU_078,Home,5.5,75,205,Yes
SKU079,SKU_079,Beauty,6.5,14,210,No
SKU080,SKU_080,Auto,7.5,23,215,No
SKU081,SKU_081,Electronics,8.5,32,220,No
SKU082,SKU_082,Apparel,0.5,41,225,No
SKU083,SKU_083,Home,1.5,50,230,No
SKU084,SKU_084,Beauty,2.5,59,235,No
SKU085,SKU_085,Auto,3.5,68,240,No
SKU086,SKU_086,Electronics,4.5,77,245,No
SKU087,SKU_087,Apparel,5.5,16,250,No
SKU088,SKU_088,Home,6.5,25,255,No
SKU089,SKU_089,Beauty,7.5,34,260,Yes
SKU090,SKU_090,Auto,8.5,43,265,No
