WarehouseID,SKU,BeginningStock,ReceiptsQty,EndingStock,DamagedQty,CycleCountAccuracy,StorageZone
W001,SKU001,300,90,140,2,93,A
W004,SKU002,311,97,153,3,94,B
W007,SKU003,322,104,166,4,95,C
W010,SKU004,333,111,179,5,96,D
W013,SKU005,344,118,192,6,97,E
W016,SKU006,355,125,205,7,98,A
W019,SKU007,366,132,218,8,99,B
W022,SKU008,377,139,231,9,93,C
W025,SKU009,388,146,244,10,94,D
W028,SKU010,399,153,257,11,95,E
W031,SKU011,410,160,270,12,96,A
W034,SKU012,421,167,283,13,97,B
W037,SKU013,432,174,296,14,98,C
W040,SKU014,443,181,309,15,99,D
W043,SKU015,454,188,322,16,93,E
W046,SKU016,465,195,335,2,94,A
W049,SKU017,476,202,348,3,95,B
W052,SKU018,487,209,361,4,96,C
W055,SKU019,498,216,374,5,97,D
W058,SKU020,509,223,387,6,98,E
W061,SKU021,520,230,140,7,99,A
W064,SKU022,531,237,153,8,93,B
W067,SKU023,542,244,166,9,94,C
W070,SKU024,553,251,179,10,95,D
W073,SKU025,564,258,192,11,96,E
W076,SKU026,575,265,205,12,97,A
W079,SKU027,586,92,218,13,98,B
W002,SKU028,597,99,231,14,99,C
W005,SKU029,608,106,244,15,93,D
W008,SKU030,619,113,257,16,94,E
W011,SKU031,630,120,270,2,95,A
W014,SKU032,641,127,283,3,96,B
W017,SKU033,652,134,296,4,97,C
W020,SKU034,663,141,309,5,98,D
W023,SKU035,674,148,322,6,99,E
W026,SKU036,685,155,335,7,93,A
W029,SKU037,696,162,348,8,94,B
W032,SKU038,707,169,361,9,95,C
W035,SKU039,718,176,374,10,96,D
W038,SKU040,309,183,387,11,97,E
W041,SKU041,320,190,140,12,98,A
W044,SKU042,331,197,153,13,99,B
W047,SKU043,342,204,166,14,93,C
W050,SKU044,353,211,179,15,94,D
W053,SKU045,364,218,192,16,95,E
W056,SKU046,375,225,205,2,96,A
W059,SKU047,386,232,218,3,97,B
W062,SKU048,397,239,231,4,98,C
W065,SKU049,408,246,244,5,99,D
W068,SKU050,419,253,257,6,93,E
W071,SKU051,430,260,270,7,94,A
W074,SKU052,441,267,283,8,95,B
W077,SKU053,452,94,296,9,96,C
W080,SKU054,463,101,309,10,97,D
W003,SKU055,474,108,322,11,98,E
W006,SKU056,485,115,335,12,99,A
W009,SKU057,496,122,348,13,93,B
W012,SKU058,507,129,361,14,94,C
W015,SKU059,518,136,374,15,95,D
W018,SKU060,529,143,387,16,96,E
W021,SKU061,540,150,140,2,97,A
W024,SKU062,551,157,153,3,98,B
W027,SKU063,562,164,166,4,99,C
W030,SKU064,573,171,179,5,93,D
W033,SKU065,584,178,192,6,94,E
W036,SKU066,595,185,205,7,95,A
W039,SKU067,606,192,218,8,96,B
W042,SKU068,617,199,231,9,97,C
W045,SKU069,628,206,244,10,98,D
W048,SKU070,639,213,257,11,99,E
W051,SKU071,650,220,270,12,93,A
W054,SKU072,661,227,283,13,94,B
W057,SKU073,672,234,296,14,95,C
W060,SKU074,683,241,309,15,96,D
W063,SKU075,694,248,322,16,97,E
W066,SKU076,705,255,335,2,98,A
W069,SKU077,716,262,348,3,99,B
W072,SKU078,307,269,361,4,93,C
W075,SKU079,318,96,374,5,94,D
W078,SKU080,329,103,387,6,95,E
W001,SKU081,340,110,140,7,96,A
W004,SKU082,351,117,153,8,97,B
W007,SKU083,362,124,166,9,98,C
W010,SKU084,373,131,179,10,99,D
W013,SKU085,384,138,192,11,93,E
W016,SKU086,395,145,205,12,94,A
W019,SKU087,406,152,218,13,95,B
W022,SKU088,417,159,231,14,96,C
W025,SKU089,428,166,244,15,97,D
W028,SKU090,439,173,257,16,98,E
