OrderID,WarehouseID,SKU,OrderMonth,OrderedQty,Priority,Channel
O001,W001,SKU001,2024-01,18,High,B2B
O002,W006,SKU008,2024-02,22,Medium,D2C
O003,W011,SKU015,2024-03,26,Low,Marketplace
O004,W016,SKU022,2024-04,30,High,B2B
O005,W021,SKU029,2024-05,34,Medium,D2C
O006,W026,SKU036,2024-06,38,Low,Marketplace
O007,W031,SKU043,2024-07,42,High,B2B
O008,W036,SKU050,2024-08,46,Medium,D2C
O009,W041,SKU057,2024-09,50,Low,Marketplace
O010,W046,SKU064,2024-10,54,High,B2B
O011,W051,SKU071,2024-11,58,Medium,D2C
O012,W056,SKU078,2024-12,62,Low,Marketplace
O013,W061,SKU085,2024-01,66,High,B2B
O014,W066,SKU002,2024-02,70,Medium,D2C
O015,W071,SKU009,2024-03,74,Low,Marketplace
O016,W076,SKU016,2024-04,78,High,B2B
O017,W001,SKU023,2024-05,82,Medium,D2C
O018,W006,SKU030,2024-06,86,Low,Marketplace
O019,W011,SKU037,2024-07,90,High,B2B
O020,W016,SKU044,2024-08,19,Medium,D2C
O021,W021,SKU051,2024-09,23,Low,Marketplace
O022,W026,SKU058,2024-10,27,High,B2B
O023,W031,SKU065,2024-11,31,Medium,D2C
O024,W036,SKU072,2024-12,35,Low,Marketplace
O025,W041,SKU079,2024-01,39,High,B2B
O026,W046,SKU086,2024-02,43,Medium,D2C
O027,W051,SKU003,2024-03,47,Low,Marketplace
O028,W056,SKU010,2024-04,51,High,B2B
O029,W061,SKU017,2024-05,55,Medium,D2C
O030,W066,SKU024,2024-06,59,Low,Marketplace
O031,W071,SKU031,2024-07,63,High,B2B
O032,W076,SKU038,2024-08,67,Medium,D2C
O033,W001,SKU045,2024-09,71,Low,Marketplace
O034,W006,SKU052,2024-10,75,High,B2B
O035,W011,SKU059,2024-11,79,Medium,D2C
O036,W016,SKU066,2024-12,83,Low,Marketplace
O037,W021,SKU073,2024-01,87,High,B2B
O038,W026,SKU080,2024-02,91,Medium,D2C
O039,W031,SKU087,2024-03,20,Low,Marketplace
O040,W036,SKU004,2024-04,24,High,B2B
O041,W041,SKU011,2024-05,28,Medium,D2C
O042,W046,SKU018,2024-06,32,Low,Marketplace
O043,W051,SKU025,2024-07,36,High,B2B
O044,W056,SKU032,2024-08,40,Medium,D2C
O045,W061,SKU039,2024-09,44,Low,Marketplace
O046,W066,SKU046,2024-10,48,High,B2B
O047,W071,SKU053,2024-11,52,Medium,D2C
O048,W076,SKU060,2024-12,56,Low,Marketplace
O049,W001,SKU067,2024-01,60,High,B2B
O050,W006,SKU074,2024-02,64,Medium,D2C
O051,W011,SKU081,2024-03,68,Low,Marketplace
O052,W016,SKU088,2024-04,72,High,B2B
O053,W021,SKU005,2024-05,76,Medium,D2C
O054,W026,SKU012,2024-06,80,Low,Marketplace
O055,W031,SKU019,2024-07,84,High,B2B
O056,W036,SKU026,2024-08,88,Medium,D2C
O057,W041,SKU033,2024-09,92,Low,Marketplace
O058,W046,SKU040,2024-10,21,High,B2B
O059,W051,SKU047,2024-11,25,Medium,D2C
O060,W056,SKU054,2024-12,29,Low,Marketplace
O061,W061,SKU061,2024-01,33,High,B2B
