OrderID,ShipMonth,ShippedQty,TransitDays,OnTimeFlag,Carrier,FreightCost
O001,2024-01,18,1,No,CarrierA,120
O002,2024-02,21,2,Yes,CarrierB,129
O003,2024-03,24,3,Yes,CarrierC,138
O004,2024-04,27,4,Yes,CarrierD,147
O005,2024-05,30,5,Yes,CarrierA,156
O006,2024-06,33,6,No,CarrierB,165
O007,2024-07,36,1,Yes,CarrierC,174
O008,2024-08,39,2,Yes,CarrierD,183
O009,2024-09,42,3,Yes,CarrierA,192
O010,2024-10,54,4,Yes,CarrierB,201
O011,2024-11,57,5,No,CarrierC,210
O012,2024-12,60,6,Yes,CarrierD,219
O013,2024-01,63,1,Yes,CarrierA,228
O014,2024-02,66,2,Yes,CarrierB,237
O015,2024-03,69,3,Yes,CarrierC,246
O016,2024-04,72,4,No,CarrierD,255
O017,2024-05,75,5,Yes,CarrierA,264
O018,2024-06,78,6,Yes,CarrierB,273
O019,2024-07,90,1,Yes,CarrierC,282
O020,2024-08,18,2,Yes,CarrierD,291
O021,2024-09,21,3,No,CarrierA,300
O022,2024-10,24,4,Yes,CarrierB,309
O023,2024-11,27,5,Yes,CarrierC,318
O024,2024-12,30,6,Yes,CarrierD,327
O025,2024-01,33,1,Yes,CarrierA,336
O026,2024-02,36,2,No,CarrierB,345
O027,2024-03,39,3,Yes,CarrierC,354
O028,2024-04,51,4,Yes,CarrierD,363
O029,2024-05,54,5,Yes,CarrierA,372
O030,2024-06,57,6,Yes,CarrierB,121
O031,2024-07,60,1,No,CarrierC,130
O032,2024-08,63,2,Yes,CarrierD,139
O033,2024-09,66,3,Yes,CarrierA,148
O034,2024-10,69,4,Yes,CarrierB,157
O035,2024-11,72,5,Yes,CarrierC,166
O036,2024-12,75,6,No,CarrierD,175
O037,2024-01,87,1,Yes,CarrierA,184
O038,2024-02,90,2,Yes,CarrierB,193
O039,2024-03,18,3,Yes,CarrierC,202
O040,2024-04,21,4,Yes,CarrierD,211
O041,2024-05,24,5,No,CarrierA,220
O042,2024-06,27,6,Yes,CarrierB,229
O043,2024-07,30,1,Yes,CarrierC,238
O044,2024-08,33,2,Yes,CarrierD,247
O045,2024-09,36,3,Yes,CarrierA,256
O046,2024-10,48,4,No,CarrierB,265
O047,2024-11,51,5,Yes,CarrierC,274
O048,2024-12,54,6,Yes,CarrierD,283
O049,2024-01,57,1,Yes,CarrierA,292
O050,2024-02,60,2,Yes,CarrierB,301
O051,2024-03,63,3,No,CarrierC,310
O052,2024-04,66,4,Yes,CarrierD,319
O053,2024-05,69,5,Yes,CarrierA,328
O054,2024-06,72,6,Yes,CarrierB,337
O055,2024-07,84,1,Yes,CarrierC,346
O056,2024-08,87,2,No,CarrierD,355
O057,2024-09,90,3,Yes,CarrierA,364
O058,2024-10,18,4,Yes,CarrierB,373
O059,2024-11,21,5,Yes,CarrierC,122
O060,2024-12,24,6,Yes,CarrierD,131
O061,2024-01,27,1,No,CarrierA,140
O062,2024-02,30,2,Yes,CarrierB,149
O063,2024-03,33,3,Yes,CarrierC,158
O064,2024-04,45,4,Yes,CarrierD,167
O065,2024-05,48,5,Yes,CarrierA,176
O066,2024-06,51,6,No,CarrierB,185
O067,2024-07,54,1,Yes,CarrierC,194
O068,2024-08,57,2,Yes,CarrierD,203
O069,2024-09,60,3,Yes,CarrierA,212
O070,2024-10,63,4,Yes,CarrierB,221
O071,2024-11,66,5,No,CarrierC,230
O072,2024-12,69,6,Yes,CarrierD,239
O073,2024-01,81,1,Yes,CarrierA,248
O074,2024-02,84,2,Yes,CarrierB,257
O075,2024-03,87,3,Yes,CarrierC,266
O076,2024-04,15,4,No,CarrierD,275
O077,2024-05,18,5,Yes,CarrierA,284
O078,2024-06,21,6,Yes,CarrierB,293
O079,2024-07,24,1,Yes,CarrierC,302
O080,2024-08,27,2,Yes,CarrierD,311
O081,2024-09,30,3,No,CarrierA,320
O082,2024-10,42,4,Yes,CarrierB,329
O083,2024-11,45,5,Yes,CarrierC,338
O084,2024-12,48,6,Yes,CarrierD,347
O085,2024-01,51,1,Yes,CarrierA,356
O086,2024-02,54,2,No,CarrierB,365
O087,2024-03,57,3,Yes,CarrierC,374
O088,2024-04,60,4,Yes,CarrierD,123
O089,2024-05,63,5,Yes,CarrierA,132
O090,2024-06,66,6,Yes,CarrierB,141
O091,2024-07,78,1,No,CarrierC,150
O092,2024-08,81,2,Yes,CarrierD,159
O093,2024-09,84,3,Yes,CarrierA,168
O094,2024-10,87,4,Yes,CarrierB,177
O095,2024-11,15,5,Yes,CarrierC,186
O096,2024-12,18,6,No,CarrierD,195
O097,2024-01,21,1,Yes,CarrierA,204
