DepartmentID,DepartmentName,Function,Region,BudgetOwner,TargetUtilisation,HiringPlan
DP001,Consulting,Client,UK,Owner_01,72,1
DP002,Data,Corporate,EU,Owner_02,73,2
DP003,Finance,Client,NA,Owner_03,74,3
DP004,HR,Corporate,APAC,Owner_04,75,4
DP005,Operations,Client,UK,Owner_05,76,5
DP006,Sales,Corporate,EU,Owner_06,77,6
DP007,Support,Client,NA,Owner_07,78,1
DP008,Legal,Corporate,APAC,Owner_08,79,2
DP009,Consulting,Client,UK,Owner_09,80,3
DP010,Data,Corporate,EU,Owner_10,81,4
DP011,Finance,Client,NA,Owner_11,82,5
DP012,HR,Corporate,APAC,Owner_12,83,6
DP013,Operations,Client,UK,Owner_01,72,1
DP014,Sales,Corporate,EU,Owner_02,73,2
DP015,Support,Client,NA,Owner_03,74,3
DP016,Legal,Corporate,APAC,Owner_04,75,4
DP017,Consulting,Client,UK,Owner_05,76,5
DP018,Data,Corporate,EU,Owner_06,77,6
DP019,Finance,Client,NA,Owner_07,78,1
DP020,HR,Corporate,APAC,Owner_08,79,2
DP021,Operations,Client,UK,Owner_09,80,3
DP022,Sales,Corporate,EU,Owner_10,81,4
DP023,Support,Client,NA,Owner_11,82,5
DP024,Legal,Corporate,APAC,Owner_12,83,6
DP025,Consulting,Client,UK,Owner_01,72,1
DP026,Data,Corporate,EU,Owner_02,73,2
DP027,Finance,Client,NA,Owner_03,74,3
DP028,HR,Corporate,APAC,Owner_04,75,4
DP029,Operations,Client,UK,Owner_05,76,5
DP030,Sales,Corporate,EU,Owner_06,77,6
DP031,Support,Client,NA,Owner_07,78,1
DP032,Legal,Corporate,APAC,Owner_08,79,2
DP033,Consulting,Client,UK,Owner_09,80,3
DP034,Data,Corporate,EU,Owner_10,81,4
DP035,Finance,Client,NA,Owner_11,82,5
DP036,HR,Corporate,APAC,Owner_12,83,6
DP037,Operations,Client,UK,Owner_01,72,1
DP038,Sales,Corporate,EU,Owner_02,73,2
DP039,Support,Client,NA,Owner_03,74,3
DP040,Legal,Corporate,APAC,Owner_04,75,4
DP041,Consulting,Client,UK,Owner_05,76,5
DP042,Data,Corporate,EU,Owner_06,77,6
DP043,Finance,Client,NA,Owner_07,78,1
DP044,HR,Corporate,APAC,Owner_08,79,2
DP045,Operations,Client,UK,Owner_09,80,3
DP046,Sales,Corporate,EU,Owner_10,81,4
DP047,Support,Client,NA,Owner_11,82,5
DP048,Legal,Corporate,APAC,Owner_12,83,6
DP049,Consulting,Client,UK,Owner_01,72,1
DP050,Data,Corporate,EU,Owner_02,73,2
DP051,Finance,Client,NA,Owner_03,74,3
DP052,HR,Corporate,APAC,Owner_04,75,4
DP053,Operations,Client,UK,Owner_05,76,5
DP054,Sales,Corporate,EU,Owner_06,77,6
DP055,Support,Client,NA,Owner_07,78,1
DP056,Legal,Corporate,APAC,Owner_08,79,2
DP057,Consulting,Client,UK,Owner_09,80,3
DP058,Data,Corporate,EU,Owner_10,81,4
DP059,Finance,Client,NA,Owner_11,82,5
DP060,HR,Corporate,APAC,Owner_12,83,6
DP061,Operations,Client,UK,Owner_01,72,1
DP062,Sales,Corporate,EU,Owner_02,73,2
DP063,Support,Client,NA,Owner_03,74,3
DP064,Legal,Corporate,APAC,Owner_04,75,4
DP065,Consulting,Client,UK,Owner_05,76,5
DP066,Data,Corporate,EU,Owner_06,77,6
DP067,Finance,Client,NA,Owner_07,78,1
DP068,HR,Corporate,APAC,Owner_08,79,2
DP069,Operations,Client,UK,Owner_09,80,3
DP070,Sales,Corporate,EU,Owner_10,81,4
DP071,Support,Client,NA,Owner_11,82,5
DP072,Legal,Corporate,APAC,Owner_12,83,6
DP073,Consulting,Client,UK,Owner_01,72,1
DP074,Data,Corporate,EU,Owner_02,73,2
DP075,Finance,Client,NA,Owner_03,74,3
DP076,HR,Corporate,APAC,Owner_04,75,4
DP077,Operations,Client,UK,Owner_05,76,5
DP078,Sales,Corporate,EU,Owner_06,77,6
DP079,Support,Client,NA,Owner_07,78,1
DP080,Legal,Corporate,APAC,Owner_08,79,2
