EntryID,EmployeeID,Week,ProjectType,BillableHours,NonBillableHours,LeaveHours
TS001,E001,2024-W01,Client,20,4,0
TS002,E006,2024-W02,Internal,23,9,1
TS003,E011,2024-W03,Support,26,4,2
TS004,E016,2024-W04,Client,29,9,3
TS005,E021,2024-W05,Internal,32,4,0
TS006,E026,2024-W06,Support,35,9,1
TS007,E031,2024-W07,Client,38,4,2
TS008,E036,2024-W08,Internal,20,9,3
TS009,E041,2024-W09,Support,23,4,0
TS010,E046,2024-W10,Client,26,9,1
TS011,E051,2024-W11,Internal,29,4,2
TS012,E056,2024-W12,Support,32,9,3
TS013,E061,2024-W01,Client,35,4,0
TS014,E066,2024-W02,Internal,38,9,1
TS015,E071,2024-W03,Support,20,4,2
TS016,E076,2024-W04,Client,23,9,3
TS017,E081,2024-W05,Internal,26,4,0
TS018,E002,2024-W06,Support,29,9,1
TS019,E007,2024-W07,Client,32,4,2
TS020,E012,2024-W08,Internal,35,9,3
TS021,E017,2024-W09,Support,38,4,0
TS022,E022,2024-W10,Client,20,9,1
TS023,E027,2024-W11,Internal,23,4,2
TS024,E032,2024-W12,Support,26,9,3
TS025,E037,2024-W01,Client,29,4,0
TS026,E042,2024-W02,Internal,32,9,1
TS027,E047,2024-W03,Support,35,4,2
TS028,E052,2024-W04,Client,38,9,3
TS029,E057,2024-W05,Internal,20,4,0
TS030,E062,2024-W06,Support,23,9,1
TS031,E067,2024-W07,Client,26,4,2
TS032,E072,2024-W08,Internal,29,9,3
TS033,E077,2024-W09,Support,32,4,0
TS034,E082,2024-W10,Client,35,9,1
TS035,E003,2024-W11,Internal,38,4,2
TS036,E008,2024-W12,Support,20,9,3
TS037,E013,2024-W01,Client,23,4,0
TS038,E018,2024-W02,Internal,26,9,1
TS039,E023,2024-W03,Support,29,4,2
TS040,E028,2024-W04,Client,32,9,3
TS041,E033,2024-W05,Internal,35,4,0
TS042,E038,2024-W06,Support,38,9,1
TS043,E043,2024-W07,Client,20,4,2
TS044,E048,2024-W08,Internal,23,9,3
TS045,E053,2024-W09,Support,26,4,0
TS046,E058,2024-W10,Client,29,9,1
TS047,E063,2024-W11,Internal,32,4,2
TS048,E068,2024-W12,Support,35,9,3
TS049,E073,2024-W01,Client,38,4,0
TS050,E078,2024-W02,Internal,20,9,1
TS051,E083,2024-W03,Support,23,4,2
TS052,E004,2024-W04,Client,26,9,3
TS053,E009,2024-W05,Internal,29,4,0
TS054,E014,2024-W06,Support,32,9,1
TS055,E019,2024-W07,Client,35,4,2
TS056,E024,2024-W08,Internal,38,9,3
TS057,E029,2024-W09,Support,20,4,0
TS058,E034,2024-W10,Client,23,9,1
TS059,E039,2024-W11,Internal,26,4,2
TS060,E044,2024-W12,Support,29,9,3
TS061,E049,2024-W01,Client,32,4,0
TS062,E054,2024-W02,Internal,35,9,1
TS063,E059,2024-W03,Support,38,4,2
TS064,E064,2024-W04,Client,20,9,3
TS065,E069,2024-W05,Internal,23,4,0
TS066,E074,2024-W06,Support,26,9,1
TS067,E079,2024-W07,Client,29,4,2
TS068,E084,2024-W08,Internal,32,9,3
TS069,E005,2024-W09,Support,35,4,0
TS070,E010,2024-W10,Client,38,9,1
TS071,E015,2024-W11,Internal,20,4,2
TS072,E020,2024-W12,Support,23,9,3
TS073,E025,2024-W01,Client,26,4,0
TS074,E030,2024-W02,Internal,29,9,1
TS075,E035,2024-W03,Support,32,4,2
TS076,E040,2024-W04,Client,35,9,3
TS077,E045,2024-W05,Internal,38,4,0
TS078,E050,2024-W06,Support,20,9,1
TS079,E055,2024-W07,Client,23,4,2
TS080,E060,2024-W08,Internal,26,9,3
TS081,E065,2024-W09,Support,29,4,0
TS082,E070,2024-W10,Client,32,9,1
TS083,E075,2024-W11,Internal,35,4,2
TS084,E080,2024-W12,Support,38,9,3
TS085,E001,2024-W01,Client,20,4,0
TS086,E006,2024-W02,Internal,23,9,1
TS087,E011,2024-W03,Support,26,4,2
TS088,E016,2024-W04,Client,29,9,3
TS089,E021,2024-W05,Internal,32,4,0
TS090,E026,2024-W06,Support,35,9,1
TS091,E031,2024-W07,Client,38,4,2
TS092,E036,2024-W08,Internal,20,9,3
TS093,E041,2024-W09,Support,23,4,0
TS094,E046,2024-W10,Client,26,9,1
TS095,E051,2024-W11,Internal,29,4,2
TS096,E056,2024-W12,Support,32,9,3
TS097,E061,2024-W01,Client,35,4,0
TS098,E066,2024-W02,Internal,38,9,1
TS099,E071,2024-W03,Support,20,4,2
TS100,E076,2024-W04,Client,23,9,3
TS101,E081,2024-W05,Internal,26,4,0
TS102,E002,2024-W06,Support,29,9,1
TS103,E007,2024-W07,Client,32,4,2
TS104,E012,2024-W08,Internal,35,9,3
TS105,E017,2024-W09,Support,38,4,0
TS106,E022,2024-W10,Client,20,9,1
TS107,E027,2024-W11,Internal,23,4,2
TS108,E032,2024-W12,Support,26,9,3
TS109,E037,2024-W01,Client,29,4,0
TS110,E042,2024-W02,Internal,32,9,1
TS111,E047,2024-W03,Support,35,4,2
TS112,E052,2024-W04,Client,38,9,3
TS113,E057,2024-W05,Internal,20,4,0
TS114,E062,2024-W06,Support,23,9,1
TS115,E067,2024-W07,Client,26,4,2
TS116,E072,2024-W08,Internal,29,9,3
TS117,E077,2024-W09,Support,32,4,0
TS118,E082,2024-W10,Client,35,9,1
TS119,E003,2024-W11,Internal,38,4,2
TS120,E008,2024-W12,Support,20,9,3
