EmpID,Q1_Score,Q2_Score,Q3_Score,Q4_Score
E01,96,85,81,67
E02,98,80,58,82
E03,83,57,88,75
E04,70,86,95,94
E05,67,80,75,85
E06,82,84,97,57
E07,70,71,83,85
E08,72,57,66,95
E09,57,79,71,55
E10,68,67,62,77
E11,69,99,96,67
E12,70,74,96,77
E13,74,73,76,84
E14,70,77,58,94
E15,79,80,88,91
E16,77,81,65,70
E17,77,77,62,67
E18,75,55,60,97
E19,79,91,75,61
E20,65,71,93,98
E21,74,96,96,63
E22,66,97,90,84
E23,83,58,55,66
E24,96,83,84,93
E25,56,86,61,67
E26,65,95,55,58
E27,60,86,79,55
E28,67,88,98,98
E29,68,81,84,57
E30,71,82,86,70
E31,97,85,93,66
E32,69,84,85,94
E33,60,90,68,56
E34,81,58,96,75
E35,95,99,93,87
E36,79,80,91,86
E37,74,64,70,67
E38,93,90,89,90
E39,86,79,89,90
E40,71,70,95,74
E41,86,90,62,94
E42,72,69,78,93
E43,94,84,64,58
E44,90,67,85,76
E45,70,94,92,68
E46,60,78,98,71
E47,67,67,74,67
E48,83,56,99,57
E49,76,73,76,67
E50,64,80,55,56
